parameter,label,unit,assumption_low,assumption_mode,assumption_high,correlation_with_gross_capacity,correlation_with_durable_credit,correlation_with_net_climate,standardized_mean_difference_for_durable_100_pass,interpretation
clean_addition_growth_rate,Annual clean-addition growth,fraction/year,0.04,0.15,0.24,0.6219273588067697,0.6137352874258492,0.47993134879647303,1.4230211155310588,Growth rate for annual global clean-generation additions through 2046.
residual_emissions_2046_gtco2_y,Residual emissions in 2046,GtCO2/year,5.0,15.0,35.0,-0.0015109017954250859,-0.0015079867863710432,-0.436967147300249,0.2630059466717089,Positive emissions remaining when the AETHER system reaches industrial scale.
rebound_fraction_of_gross,Rebound or delayed-abatement fraction,fraction of gross removal,0.02,0.18,0.65,0.004302231420341574,0.005034520342559125,-0.3727330406407133,0.2759918775555005,Extra emissions or delayed abatement induced by cheap removal.
energy_gj_tco2,Full-system energy intensity,GJ/tCO2,1.25,2.25,5.5,-0.36022635572683726,-0.35644354450780025,-0.2753594230316867,-0.6866695176710068,Lower values make the clean-energy constraint less binding.
aether_clean_share,AETHER share of new clean generation,fraction,0.15,0.5,0.75,0.35189188088310014,0.34759455717119675,0.27357976231016634,0.8280485777674027,Share of new clean generation that can be allocated to AETHER after other demand claims.
durability_fraction_100y,100-year durable credit fraction,fraction,0.68,0.85,0.96,-0.005594604970277527,0.13308077630083553,0.16000929452399942,1.1862294138211051,Fraction of gross captured CO2 credited after lifecycle and 100-year durability haircuts.
cost_usd_tco2,Delivered cost,USD/tCO2,25.0,75.0,220.0,-0.19633728151224572,-0.19517228445759835,-0.15742393226653756,-1.0786758820339444,"Full delivered cost after learning, energy, storage, MRV, finance, and operations."
annual_budget_trillion_usd,Annual budget,trillion USD/year,2.0,7.0,14.0,0.19266410129877987,0.18775946482522998,0.15007913243522883,0.6726571735312205,"Public, private, and treaty-backed annual spending capacity."
clean_deliverability_fraction,Clean-energy deliverability,fraction,0.55,0.85,1.0,0.1339587920669846,0.1337471391402635,0.10451568428084093,0.5208305847092648,"Discount for interconnection, firming, transmission, downtime, and siting mismatch."
robots_per_mtco2_y_capacity,Robots per MtCO2/year capacity,robots per Mt/y,15.0,75.0,400.0,-0.04924822487051863,-0.05170206252684911,-0.04302719219168872,-0.6518592675495284,Lower values mean each robot-mediated deployment system supports more removal capacity.
robot_output_growth_rate,Annual robot-output growth,fraction/year,0.1,0.24,0.38,0.0625572801505061,0.0621676845165043,0.042448517786358095,0.10544987399486083,Growth rate for robot production relevant to AETHER construction and operations.
storage_terminal_gtco2_y,Terminal storage capacity,GtCO2/year,35.0,105.0,160.0,0.05312053753108301,0.050500339258584985,0.03818931305896731,0.9817935626975802,"Geologic, mineral, ocean, biomass, and product storage throughput available by 2046."
aether_robot_share,AETHER share of robot output,fraction,0.05,0.25,0.45,0.04216684304600442,0.04098341871318922,0.033152420809726205,0.054718410742283556,Share of robot output available for AETHER rather than the rest of the economy.
gross_overbuild_factor,Gross overbuild factor,multiple of 100 Gt/y,1.0,1.18,1.35,-0.00409581378212047,-0.005055505625462228,-0.009989460588352924,0.57205463944802,Program design capacity above 100 Gt/y to cover durability and downtime.
execution_realization_fraction,Execution realization,fraction,0.65,0.95,1.08,0.01216578453089939,0.012553858515726518,0.002695968162121168,0.8325964445346324,"Coordination, permitting, supply-chain, and operations realization of designed capacity."
