"claim_order","manuscript_claim","claim_class","evidence_strength","evidence_anchor","primary_artifacts","citation_keys","reviewer_risk","required_upgrade","paper_usage_rule"
"1","AETHER's 100 GtCO2/year gross target is about 2.4x current anthropogenic CO2 emissions and would give 57.8 GtCO2/year simple net removal before rebound.","source_backed_plus_derived","A","Current emissions baseline is 42.2 GtCO2/year; simple net is 100 - 42.2 = 57.8 GtCO2/year.","analysis/tables/aether_scenario_summary.csv; data/parameters/aether_parameter_evidence.csv","global_carbon_budget_2025","Low for arithmetic; medium for interpreting simple net as climate outcome.","Keep carbon-cycle caveat next to any ppm or net-removal statement.","Can state as arithmetic, not as realized atmospheric drawdown."
"2","Current CDR is orders of magnitude below AETHER scale.","source_backed","A","State of CDR 2026 reports about 2.2 GtCO2/year total CDR and about 2.04 MtCO2/year novel CDR.","references/source-register.md; data/parameters/aether_parameter_evidence.csv","state_of_cdr_2026","Low if wording distinguishes conventional land CDR from novel engineered CDR.","Keep current CDR source refreshed before submission.","Can state as current-state baseline."
"3","Reduced-form carbon-cycle modeling makes emissions decline and rebound control decisive.","derived_model_output","B","No-AETHER constant emissions reaches 656 ppm by 2100; net-zero 2050 plus AETHER reaches the 350 ppm floor; 58% rebound remains near 473 ppm.","analysis/scenario-models/aether_carbon_cycle_model.py; analysis/tables/aether_carbon_cycle_summary.csv","joos_2013_impulse_response; ipcc_ar6_wg1_ch5_carbon_cycle; zickfeld_2021_asymmetry","Medium because the Joos impulse-response screen is not a full Earth-system model.","Run FAIR-class or Earth-system-model workflows with state-dependent removal response.","Use as scenario discipline, not final climate prediction."
"4","A 3 GJ/tCO2 AETHER system is a tens-of-terawatts clean-power problem.","derived_model_output","B","91,667 TWh/year gross clean generation, 27.5 TW nameplate, and 3.5 TW firm clean capacity in the balanced case.","analysis/tables/aether_clean_power_portfolio_summary.csv; analysis/figures/clean_energy_capacity_requirements_100gt.png","iea_global_energy_review_2026; nrel_atb_2024_electricity; nrel_atb_land_wind_2024; nrel_atb_nuclear_2024","Medium because dispatch, transmission, curtailment, and siting remain coarse.","Regional dispatch, interconnection, transmission, and storage-duration model.","Can state as first-order buildout screen."
"5","Full CO2 splitting is compact but not the default AETHER storage pathway.","source_backed_plus_derived","A","CO2 splitting floor is about 8.94 GJ/tCO2, adding about 248,333 TWh/year at 100 GtCO2/year before real losses.","analysis/tables/aether_conversion_state_ledger.csv; data/parameters/aether_conversion_constants.csv","nist_chemistry_webbook_co2","Low for thermodynamic floor; high for any product-market interpretation.","Add real electrochemical efficiency, separations, oxygen handling, and carbon product safety model.","Can state as lower-bound energy caution."
"6","The current 100 GtCO2/year pathway portfolio is an upper-tail stress test, not a forecast.","scenario_plus_source_range_comparison","B","AETHER portfolio uses 100 GtCO2/year against 37.5 GtCO2/year central assessed potential sum and 107.6 GtCO2/year high assessed sum.","analysis/tables/aether_pathway_portfolio_summary.csv; data/parameters/aether_cdr_pathway_source_ranges.csv","ipcc_ar6_wg3_technical_summary_cdr; national_academies_ocean_cdr_2021","High unless each pathway gets regional cost and potential curves.","Regionalized pathway distributions and substitution rules.","Label as stress test and upper-tail dependency."
"7","Gross capture is not durable credited removal.","derived_model_output","B","100 GtCO2/year gross portfolio credits 84.9 GtCO2/year after lifecycle and durability haircuts; 117.8 GtCO2/year gross is needed for 100 GtCO2/year durable credit at the same mix.","analysis/tables/aether_storage_lifecycle_summary.csv; research/parameters/storage-lifecycle-and-regionalization-notes.md","usgs_circular_1386_geologic_storage; ipcc_ar6_wg3_ch6_ccs_storage; usgs_anderson_storage_risk_liability_2017","High because lifecycle and durability haircuts are route-level assumptions.","Full pathway-specific LCA and basin-level storage model.","Use as a cautionary filter, not final credit accounting."
"8","Air-contactor scale is a hardware and factory-rate bottleneck.","derived_model_output","B","100 Gt all-air NASEM-reference case needs 3,771 km2 contactor face area, 9,290 TWh/year fan electricity, and 200,000 STRATOS-scale equivalents.","analysis/tables/aether_air_contactor_scale_summary.csv; analysis/figures/air_contactor_physical_scale_100gt.png","national_academies_dac_ch5_2018; keith_2018_process_dac; onepointfive_stratos_2026","Medium-high because module geometry, pressure drop, fouling, and uptime are simplified.","Factory-rate model for modules, sorbents, maintenance, and failure rates.","Can state as physical-scale screen."
"9","AI and robotics can move automatable buckets but do not erase delivered-tonne floors.","scenario_assumption_with_source_anchors","C","Current DAC-like stack is about $606/tCO2; automation push is about $86/tCO2; deep-abundance floor is about $24/tCO2.","analysis/tables/aether_cost_improvement_frontier.csv; analysis/tables/aether_cost_bucket_reduction_factors.csv","ncses_us_rd_2023; iea_state_energy_innovation_2026; ifr_world_robotics_2025","High because cost reductions are hand-set scenario assumptions.","Component-level TEA and sourced learning distributions by pathway.","Use as plausibility frontier, not forecast."
"10","Robot production and robot counts are not the same as useful autonomous AETHER labor.","source_anchored_caution","B","AETHER portfolio push has robot adequacy ratio 13.7x under optimistic proxy assumptions, but field task productivity remains unproven.","data/parameters/aether_robotics_evidence.csv; analysis/tables/aether_robotics_task_ladder.csv","ifr_world_robotics_2025; amazon_robotics_750k_robots_2024; figure_botq_2025; figure_ramping_2026; agility_robofab_2023","High if company claims are treated as independent productivity evidence.","Task-family distributions for duty cycle, reliability, supervision, maintenance, and productive output.","Use robotics claims as leads or anchors, not proof of field productivity."
