parameter_id,value,unit,category,evidence_class,source_id,source_url,lower_bound,upper_bound,note
benchmark_nameplate_gross_capture,1000000,tCO2/year,physical,scenario_assumption,regional_reference_scope,,100000,1000000,"Analytical scale only; not a plant design, siting decision, permit claim, or construction proposal."
netl_reference_gross_air_capture,909225,tCO2/year,physical,primary_source_datum,netl_dac_case1,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSolventSystem_083122.pdf,909225,909225,"NETL Case 1 Exhibit 5-2 gross CO2 removed from air at 85% capacity factor."
netl_reference_capacity_factor,0.85,fraction,physical,primary_source_datum,netl_dac_case1,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSolventSystem_083122.pdf,0.85,0.85,"NETL Case 1 Exhibit 5-2 reference capacity factor; used for the ordinary case uptime."
electricity_intensity,0.5331294234,MWh/tCO2,physical,derived_primary_source,netl_dac_case1,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSolventSystem_083122.pdf,0.40,0.80,"Derived as 65.1 MWe total auxiliaries x 8760 h/year x 0.85 / 909225 tCO2/year from NETL Exhibits 5-2 and 5-3. Includes CO2 compression in that conceptual case."
thermal_intensity,6.8463317661,GJ_HHV_fuel_input_equivalent/tCO2,physical,derived_primary_source,netl_dac_case1,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSolventSystem_083122.pdf,5.0,9.0,"Derived as 836 GJ/hour calciner natural-gas HHV fuel input x 8760 h/year x 0.85 / 909225 tCO2/year from NETL Exhibit 5-8, with gross capture and uptime from Exhibit 5-2. This is a thermal-service fuel-input-equivalent proxy, not delivered useful heat; no conversion efficiency is assumed."
transport_delivery_fraction,0.998,fraction,physical,scenario_assumption,corridor_archetype,,0.98,1.0,"Illustrative annual CO2 transport delivery fraction; requires a corridor-specific engineering and loss assessment."
injection_acceptance_fraction,0.999,fraction,physical,scenario_assumption,corridor_archetype,,0.98,1.0,"Illustrative accepted-and-injected share of CO2 delivered to the storage site; not a well-productivity claim."
retention_fraction,0.995,fraction,physical,scenario_assumption,corridor_archetype,,0.90,1.0,"Illustrative accounting horizon retention factor; not a site-specific leakage forecast."
electricity_emissions_intensity,0.020,tCO2e/MWh,emissions,scenario_assumption,low_carbon_supply_case,,0.005,0.100,"Delivered low-carbon electricity scenario including residual lifecycle burden."
thermal_emissions_intensity,0.004,tCO2e/GJ_HHV_fuel_input_equivalent,emissions,scenario_assumption,low_carbon_heat_case,,0.001,0.020,"Low-carbon thermal-service emissions scenario applied to the HHV fuel-input-equivalent proxy. Temperature, conversion efficiency, supply technology, and process integration require independent proof."
other_lifecycle_emissions_intensity,0.015,tCO2e/tCO2,emissions,scenario_assumption,regional_reference_scope,,0.005,0.080,"Non-energy construction, media, transport, and monitoring burden placeholder; replace with process- and site-specific LCA."
measurement_discount_fraction,0.02,fraction,crediting,scenario_assumption,independent_mrv_case,,0.0,0.10,"Illustrative uncertainty discount applied after retained removal and project emissions are separated."
risk_buffer_fraction,0.03,fraction,crediting,scenario_assumption,independent_mrv_case,,0.0,0.20,"Illustrative invalidation and reversal buffer; it is not itself evidence of permanence."
maximum_measurement_discrepancy,0.02,fraction,verification,scenario_assumption,independent_mrv_case,,0.0,0.10,"Operations/crediting stop threshold for independently reconciled source-to-storage mass-balance discrepancy."
electricity_budget,550000,MWh/year,deliverability,scenario_assumption,regional_corridor_budget,,100000,1000000,"Annual deliverable electricity limit at the corridor boundary, not installed generation."
thermal_budget,7000000,GJ_HHV_fuel_input_equivalent/year,deliverability,scenario_assumption,regional_corridor_budget,,1000000,10000000,"Annual thermal-service allowance expressed as an HHV fuel-input-equivalent proxy. It is not measured delivered useful heat and assumes no conversion efficiency."
storage_injection_budget,950000,tCO2/year,deliverability,scenario_assumption,regional_corridor_budget,,100000,1000000,"Annual gross stored-CO2 acceptance limit; not a pore-volume or permit claim."
capital_basis,500000000,USD,finance,scenario_assumption,utility_finance_case,,100000000,1500000000,"Illustrative capital basis solely for testing annual capital recovery and cash reconciliation."
annual_capital_charge_factor,0.08,fraction/year,finance,scenario_assumption,utility_finance_case,,0.04,0.15,"Illustrative annual carrying-charge factor; not a financing quote or optimal capital structure."
fixed_non_task_opex,25000000,USD/year,finance,scenario_assumption,utility_finance_case,,10000000,80000000,"Fixed non-labor/non-automation O&M placeholder."
variable_nonenergy_opex,45,USD/tCO2,finance,scenario_assumption,utility_finance_case,,20,150,"Illustrative consumables and non-energy variable O&M; excludes energy, transport/storage, task labor, capital, and reserves."
electricity_price,60,USD/MWh,finance,scenario_assumption,utility_finance_case,,20,150,"Delivered-price scenario, not a tariff recommendation or forecast."
thermal_price,12,USD/GJ_HHV_fuel_input_equivalent,finance,scenario_assumption,utility_finance_case,,4,30,"Thermal-service price scenario applied to the HHV fuel-input-equivalent proxy; not an observed delivered-heat price or electricity-equivalent conversion."
transport_storage_cost,20,USD/tCO2_gross_captured,finance,scenario_assumption,utility_finance_case,,5,60,"Illustrative transport and storage service charge."
reserve_contribution,10,USD/tCO2e_risk_adjusted_credit,finance,scenario_assumption,utility_finance_case,,0,50,"Restricted reserve contribution, shown once as a cash use and not added to physical emissions."
current_load_subject_to_settlement,600000,tCO2/year,finance,scenario_assumption,utility_finance_case,,0,1000000,"Illustrative annual current-load settlement base; distinct from legacy drawdown."
current_load_settlement_rate,200,USD/tCO2_current_load,finance,scenario_assumption,utility_finance_case,,0,500,"Arithmetic funding mechanism only; not an economically optimal or recommended tariff."
legacy_drawdown_funding,180000000,USD/year,finance,scenario_assumption,utility_finance_case,,0,500000000,"Illustrative separately identified legacy-atmospheric-drawdown appropriation/procurement funding."
minimum_reserve_coverage_fraction,1.0,fraction,verification,scenario_assumption,independent_mrv_case,,0.0,1.0,"Credit issuance stops when the modeled reserve contribution is not fully funded."
