"target_case","target_display","target_gtco2_y","scenario","scenario_display","total_capacity_mol_co2_per_kg_sorbent","swing_fraction","working_capacity_kg_co2_per_kg_sorbent_cycle","cycle_time_min","uptime_fraction","cycles_per_year","co2_processed_per_kg_sorbent_y","sorbent_inventory_mt","sorbent_replacement_mt_y","paired_solid_sorbent_fan_energy_twh_y","source_keys","note"
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","nasem_low_capacity_short_life","NASEM low-capacity short-life","0.5","0.75","0.0165","50","0.85","8935","147","271.3","1085","19208","national_academies_dac_ch5_2018","NASEM lower-capacity, short-lifetime stress case."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","nasem_mid_sorbent","NASEM mid sorbent","1","0.8","0.0352","28","0.9","16894","595","67.2","134.5","19208","national_academies_dac_ch5_2018;netl_sorbent_dac_2025","Midpoint case aligned with NASEM capacity, swing, and cycle-time ranges."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","netl_reference_loading","NETL-style reference loading","1.2","0.8","0.0422","30","0.9","15768","666","60","30","19208","netl_sorbent_dac_2025;national_academies_dac_ch5_2018","Generic current/near-current sorbent reference case."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","aether_improved_sorbent","AETHER improved sorbent","3","0.9","0.1188","20","0.92","24178","2873","13.9","2.8","19208","scenario_assumption;netl_sorbent_dac_2025","Optimistic AI-discovered and robot-manufactured sorbent case."
"portfolio_40gt_daccs","Current portfolio DACCS allocation","40","aether_moonshot_sorbent","AETHER moonshot sorbent","5","0.9","0.198","10","0.95","49932","9889","4","0.6","19208","scenario_assumption;netl_sorbent_dac_2025","Upper-tail sorbent productivity case; not a present-day claim."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","nasem_low_capacity_short_life","NASEM low-capacity short-life","0.5","0.75","0.0165","50","0.85","8935","147","678.1","2712.6","48021","national_academies_dac_ch5_2018","NASEM lower-capacity, short-lifetime stress case."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","nasem_mid_sorbent","NASEM mid sorbent","1","0.8","0.0352","28","0.9","16894","595","168.1","336.2","48021","national_academies_dac_ch5_2018;netl_sorbent_dac_2025","Midpoint case aligned with NASEM capacity, swing, and cycle-time ranges."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","netl_reference_loading","NETL-style reference loading","1.2","0.8","0.0422","30","0.9","15768","666","150.1","75.1","48021","netl_sorbent_dac_2025;national_academies_dac_ch5_2018","Generic current/near-current sorbent reference case."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","aether_improved_sorbent","AETHER improved sorbent","3","0.9","0.1188","20","0.92","24178","2873","34.8","7","48021","scenario_assumption;netl_sorbent_dac_2025","Optimistic AI-discovered and robot-manufactured sorbent case."
"full_100gt_all_air","100 GtCO2/year all-air stress test","100","aether_moonshot_sorbent","AETHER moonshot sorbent","5","0.9","0.198","10","0.95","49932","9889","10.1","1.4","48021","scenario_assumption;netl_sorbent_dac_2025","Upper-tail sorbent productivity case; not a present-day claim."
