scenario,task_family,display_name,assigned_robot_class,effective_multiplier_p10,effective_multiplier_p50,effective_multiplier_p90,annual_production_p50_robots,share_of_scenario_p50_production,risk_driver
aether_automation_push,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.167818,0.210260,0.259263,5618.0410,0.006687,construction productivity and commissioning exceptions
aether_automation_push,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,0.445500,0.531482,0.628063,25871.0385,0.030794,factory automation is the best-evidenced robot environment
aether_automation_push,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.407321,0.492200,0.588489,641.1701,0.000763,can be standardized if the buildout is modular
aether_automation_push,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,0.426620,0.514073,0.611733,56273.2648,0.066981,best when work is moved into warehouse-like designed environments
aether_automation_push,module_manufacturing,Module manufacturing,industrial_factory_robot,0.428229,0.517208,0.615275,1305.0844,0.001553,repeatable modules should be easier than bespoke field construction
aether_automation_push,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.370400,0.447785,0.539348,502.4740,0.000598,baseline mapping and sensor setup are automatable but method-specific
aether_automation_push,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,0.382871,0.464008,0.559112,88899.4548,0.105815,strong automation fit but adversarial verification still matters
aether_automation_push,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,0.209387,0.263657,0.322684,351536.3849,0.418425,messy plant maintenance and exception handling
aether_automation_push,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.353484,0.432419,0.515860,15898.9523,0.018924,"autonomous labs need scientific throughput evidence, not only robot uptime"
aether_automation_push,storage_field_operations,Storage field operations,drilling_subsurface_robotics,0.133400,0.170220,0.212525,276951.9160,0.329649,"subsurface work, well integrity, and safety-critical field constraints"
aether_automation_push,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.115436,0.147803,0.185015,5219.3079,0.006212,"drilling, pressure management, right-of-way, and permitting interfaces"
deep_modular_abundance,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.303717,0.348871,0.397480,1028.9599,0.008834,construction productivity and commissioning exceptions
deep_modular_abundance,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,0.707400,0.777980,0.845454,4407.0200,0.037834,factory automation is the best-evidenced robot environment
deep_modular_abundance,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.661738,0.732872,0.807745,146.9456,0.001262,can be standardized if the buildout is modular
deep_modular_abundance,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,0.682586,0.756983,0.826750,9602.8988,0.082440,best when work is moved into warehouse-like designed environments
deep_modular_abundance,module_manufacturing,Module manufacturing,industrial_factory_robot,0.688392,0.757570,0.829420,301.7164,0.002590,repeatable modules should be easier than bespoke field construction
deep_modular_abundance,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.613577,0.687755,0.762076,84.0092,0.000721,baseline mapping and sensor setup are automatable but method-specific
deep_modular_abundance,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,0.633770,0.705388,0.779653,11057.7512,0.094930,strong automation fit but adversarial verification still matters
deep_modular_abundance,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,0.373855,0.431176,0.488154,51234.0587,0.439840,messy plant maintenance and exception handling
deep_modular_abundance,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.589882,0.666918,0.745372,2530.2978,0.021722,"autonomous labs need scientific throughput evidence, not only robot uptime"
deep_modular_abundance,storage_field_operations,Storage field operations,drilling_subsurface_robotics,0.250628,0.289706,0.329515,34517.7453,0.296332,"subsurface work, well integrity, and safety-critical field constraints"
deep_modular_abundance,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.217753,0.252285,0.289846,880.8367,0.007562,"drilling, pressure management, right-of-way, and permitting interfaces"
high_robot_intensity_translation,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.059035,0.084490,0.118851,50745.4727,0.003838,construction productivity and commissioning exceptions
high_robot_intensity_translation,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,0.192622,0.258857,0.335613,231788.1655,0.017532,factory automation is the best-evidenced robot environment
high_robot_intensity_translation,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.170982,0.227645,0.298564,4164.0167,0.000315,can be standardized if the buildout is modular
high_robot_intensity_translation,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,0.178830,0.242276,0.319846,603649.4941,0.045659,best when work is moved into warehouse-like designed environments
high_robot_intensity_translation,module_manufacturing,Module manufacturing,industrial_factory_robot,0.178058,0.242706,0.319230,7210.3810,0.000545,repeatable modules should be easier than bespoke field construction
high_robot_intensity_translation,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.149909,0.202223,0.272567,5192.2918,0.000393,baseline mapping and sensor setup are automatable but method-specific
high_robot_intensity_translation,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,0.158087,0.211176,0.284877,1534265.9244,0.116048,strong automation fit but adversarial verification still matters
high_robot_intensity_translation,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,0.077246,0.107524,0.147742,5859155.9992,0.443172,messy plant maintenance and exception handling
high_robot_intensity_translation,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.145731,0.193621,0.261104,179290.5413,0.013561,"autonomous labs need scientific throughput evidence, not only robot uptime"
high_robot_intensity_translation,storage_field_operations,Storage field operations,drilling_subsurface_robotics,0.043330,0.065247,0.093175,4388912.6681,0.331966,"subsurface work, well integrity, and safety-critical field constraints"
high_robot_intensity_translation,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.036356,0.055011,0.080705,50609.6120,0.003828,"drilling, pressure management, right-of-way, and permitting interfaces"
