scenario,scenario_name,task_family,display_name,basis,basis_name,hours_per_mt_basis,annual_basis_mtco2_y,annual_useful_task_hours,annual_useful_task_hours_billion,assigned_robot_class,task_evidence_grade,task_caveat
high_robot_intensity_translation,High robot-intensity translation,plant_operations_maintenance,Plant O&M and maintenance,operating_capacity,per MtCO2/year operating capacity,63000.0000,100000.0000,6300000000.0000,6.300000,humanoid_generalist,C,Needs plant-level work breakdown and reliability data.
high_robot_intensity_translation,High robot-intensity translation,materials_handling_logistics,Materials handling and logistics,operating_capacity,per MtCO2/year operating capacity,27000.0000,100000.0000,2700000000.0000,2.700000,mobile_logistics_robot,B/C,Best when AETHER moves work into designed environments.
high_robot_intensity_translation,High robot-intensity translation,storage_field_operations,Storage field operations,operating_capacity,per MtCO2/year operating capacity,36000.0000,100000.0000,3600000000.0000,3.600000,drilling_subsurface_robotics,D,Subsurface automation is still a major evidence gap.
high_robot_intensity_translation,High robot-intensity translation,mrv_sensor_auditing,MRV sensing and auditing,operating_capacity,per MtCO2/year operating capacity,27000.0000,100000.0000,2700000000.0000,2.700000,mrv_drones_sensor_nodes,C,Must be linked to adversarial MRV and method-specific sampling.
high_robot_intensity_translation,High robot-intensity translation,factory_spares_replacement,Factory spares and replacements,operating_capacity,per MtCO2/year operating capacity,18000.0000,100000.0000,1800000000.0000,1.800000,industrial_factory_robot,B/C,Depends on modular plant designs and supply-chain redundancy.
high_robot_intensity_translation,High robot-intensity translation,robotic_labs_process_improvement,Robotic labs and process improvement,operating_capacity,per MtCO2/year operating capacity,9000.0000,100000.0000,900000000.0000,0.900000,robotic_lab_workcell,C,"Represents ongoing R&D throughput, not direct tonne handling."
high_robot_intensity_translation,High robot-intensity translation,module_manufacturing,Module manufacturing,new_capacity,per MtCO2/year new capacity added,10500.0000,5000.0000,52500000.0000,0.052500,industrial_factory_robot,B/C,Needs plant-specific module bill of process.
high_robot_intensity_translation,High robot-intensity translation,construction_commissioning,Construction and commissioning,new_capacity,per MtCO2/year new capacity added,12250.0000,5000.0000,61250000.0000,0.061250,autonomous_construction_equipment,C,Needs construction productivity distributions.
high_robot_intensity_translation,High robot-intensity translation,storage_wells_corridors,Storage wells and corridors,new_capacity,per MtCO2/year new capacity added,7000.0000,5000.0000,35000000.0000,0.035000,drilling_subsurface_robotics,D,"Needs rig count, well cost, permitting, and pressure-management data."
high_robot_intensity_translation,High robot-intensity translation,logistics_ramp,Buildout logistics ramp,new_capacity,per MtCO2/year new capacity added,3500.0000,5000.0000,17500000.0000,0.017500,mobile_logistics_robot,B/C,Depends on warehouse-like staging and standardized modules.
high_robot_intensity_translation,High robot-intensity translation,mrv_initialization,MRV initialization,new_capacity,per MtCO2/year new capacity added,1750.0000,5000.0000,8750000.0000,0.008750,mrv_drones_sensor_nodes,C,Needs method-specific baseline and monitoring design.
aether_automation_push,AETHER automation push,plant_operations_maintenance,Plant O&M and maintenance,operating_capacity,per MtCO2/year operating capacity,19250.0000,100000.0000,1925000000.0000,1.925000,humanoid_generalist,C,Needs plant-level work breakdown and reliability data.
aether_automation_push,AETHER automation push,materials_handling_logistics,Materials handling and logistics,operating_capacity,per MtCO2/year operating capacity,8250.0000,100000.0000,825000000.0000,0.825000,mobile_logistics_robot,B/C,Best when AETHER moves work into designed environments.
aether_automation_push,AETHER automation push,storage_field_operations,Storage field operations,operating_capacity,per MtCO2/year operating capacity,11000.0000,100000.0000,1100000000.0000,1.100000,drilling_subsurface_robotics,D,Subsurface automation is still a major evidence gap.
aether_automation_push,AETHER automation push,mrv_sensor_auditing,MRV sensing and auditing,operating_capacity,per MtCO2/year operating capacity,8250.0000,100000.0000,825000000.0000,0.825000,mrv_drones_sensor_nodes,C,Must be linked to adversarial MRV and method-specific sampling.
aether_automation_push,AETHER automation push,factory_spares_replacement,Factory spares and replacements,operating_capacity,per MtCO2/year operating capacity,5500.0000,100000.0000,550000000.0000,0.550000,industrial_factory_robot,B/C,Depends on modular plant designs and supply-chain redundancy.
aether_automation_push,AETHER automation push,robotic_labs_process_improvement,Robotic labs and process improvement,operating_capacity,per MtCO2/year operating capacity,2750.0000,100000.0000,275000000.0000,0.275000,robotic_lab_workcell,C,"Represents ongoing R&D throughput, not direct tonne handling."
aether_automation_push,AETHER automation push,module_manufacturing,Module manufacturing,new_capacity,per MtCO2/year new capacity added,5400.0000,5000.0000,27000000.0000,0.027000,industrial_factory_robot,B/C,Needs plant-specific module bill of process.
aether_automation_push,AETHER automation push,construction_commissioning,Construction and commissioning,new_capacity,per MtCO2/year new capacity added,6300.0000,5000.0000,31500000.0000,0.031500,autonomous_construction_equipment,C,Needs construction productivity distributions.
aether_automation_push,AETHER automation push,storage_wells_corridors,Storage wells and corridors,new_capacity,per MtCO2/year new capacity added,3600.0000,5000.0000,18000000.0000,0.018000,drilling_subsurface_robotics,D,"Needs rig count, well cost, permitting, and pressure-management data."
aether_automation_push,AETHER automation push,logistics_ramp,Buildout logistics ramp,new_capacity,per MtCO2/year new capacity added,1800.0000,5000.0000,9000000.0000,0.009000,mobile_logistics_robot,B/C,Depends on warehouse-like staging and standardized modules.
aether_automation_push,AETHER automation push,mrv_initialization,MRV initialization,new_capacity,per MtCO2/year new capacity added,900.0000,5000.0000,4500000.0000,0.004500,mrv_drones_sensor_nodes,C,Needs method-specific baseline and monitoring design.
deep_modular_abundance,Deep modular abundance,plant_operations_maintenance,Plant O&M and maintenance,operating_capacity,per MtCO2/year operating capacity,6300.0000,100000.0000,630000000.0000,0.630000,humanoid_generalist,C,Needs plant-level work breakdown and reliability data.
deep_modular_abundance,Deep modular abundance,materials_handling_logistics,Materials handling and logistics,operating_capacity,per MtCO2/year operating capacity,2700.0000,100000.0000,270000000.0000,0.270000,mobile_logistics_robot,B/C,Best when AETHER moves work into designed environments.
deep_modular_abundance,Deep modular abundance,storage_field_operations,Storage field operations,operating_capacity,per MtCO2/year operating capacity,3600.0000,100000.0000,360000000.0000,0.360000,drilling_subsurface_robotics,D,Subsurface automation is still a major evidence gap.
deep_modular_abundance,Deep modular abundance,mrv_sensor_auditing,MRV sensing and auditing,operating_capacity,per MtCO2/year operating capacity,2700.0000,100000.0000,270000000.0000,0.270000,mrv_drones_sensor_nodes,C,Must be linked to adversarial MRV and method-specific sampling.
deep_modular_abundance,Deep modular abundance,factory_spares_replacement,Factory spares and replacements,operating_capacity,per MtCO2/year operating capacity,1800.0000,100000.0000,180000000.0000,0.180000,industrial_factory_robot,B/C,Depends on modular plant designs and supply-chain redundancy.
deep_modular_abundance,Deep modular abundance,robotic_labs_process_improvement,Robotic labs and process improvement,operating_capacity,per MtCO2/year operating capacity,900.0000,100000.0000,90000000.0000,0.090000,robotic_lab_workcell,C,"Represents ongoing R&D throughput, not direct tonne handling."
deep_modular_abundance,Deep modular abundance,module_manufacturing,Module manufacturing,new_capacity,per MtCO2/year new capacity added,2400.0000,5000.0000,12000000.0000,0.012000,industrial_factory_robot,B/C,Needs plant-specific module bill of process.
deep_modular_abundance,Deep modular abundance,construction_commissioning,Construction and commissioning,new_capacity,per MtCO2/year new capacity added,2800.0000,5000.0000,14000000.0000,0.014000,autonomous_construction_equipment,C,Needs construction productivity distributions.
deep_modular_abundance,Deep modular abundance,storage_wells_corridors,Storage wells and corridors,new_capacity,per MtCO2/year new capacity added,1600.0000,5000.0000,8000000.0000,0.008000,drilling_subsurface_robotics,D,"Needs rig count, well cost, permitting, and pressure-management data."
deep_modular_abundance,Deep modular abundance,logistics_ramp,Buildout logistics ramp,new_capacity,per MtCO2/year new capacity added,800.0000,5000.0000,4000000.0000,0.004000,mobile_logistics_robot,B/C,Depends on warehouse-like staging and standardized modules.
deep_modular_abundance,Deep modular abundance,mrv_initialization,MRV initialization,new_capacity,per MtCO2/year new capacity added,400.0000,5000.0000,2000000.0000,0.002000,mrv_drones_sensor_nodes,C,Needs method-specific baseline and monitoring design.
