check_id,category,formula_or_rule,calculated_value,expected_value,tolerance,unit,status,interpretation,source_artifacts
portfolio_gross_conservation,portfolio,sum(pathway gross allocation) = summary allocation,100.000000000,100.000000000,0.000001000,GtCO2/year,pass,Checks allocation bookkeeping only; the target remains a stress-test assumption.,aether_pathway_portfolio_allocation.csv; aether_pathway_portfolio_summary.csv
portfolio_cost_conservation,portfolio,sum(pathway annual cost) = summary annual cost,8.400000000,8.400000000,0.000001000,trillion USD/year,pass,Checks that aggregate cost is traceable to pathway rows.,aether_pathway_portfolio_allocation.csv; aether_pathway_portfolio_summary.csv
portfolio_energy_conservation,portfolio,sum(pathway annual energy) = summary annual energy,56527.777777778,56527.777777778,0.000001000,TWh/year,pass,Checks bookkeeping; it does not establish deliverable electricity or heat.,aether_pathway_portfolio_allocation.csv; aether_pathway_portfolio_summary.csv
storage_signed_retention_then_debit_daccs_geologic,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,37.560019794,37.560019794,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_daccs_geologic,lifecycle accounting,physically retained = gross * retained fraction,39.960019794,39.960019794,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_enhanced_weathering,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,17.600000000,17.600000000,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_enhanced_weathering,lifecycle accounting,physically retained = gross * retained fraction,20.000000000,20.000000000,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_ocean_alkalinity_enhancement,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,12.018262954,12.018262954,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_ocean_alkalinity_enhancement,lifecycle accounting,physically retained = gross * retained fraction,14.268262954,14.268262954,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_beccs,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,7.990004948,7.990004948,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_beccs,lifecycle accounting,physically retained = gross * retained fraction,9.990004948,9.990004948,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_biochar,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,3.831400828,3.831400828,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_biochar,lifecycle accounting,physically retained = gross * retained fraction,4.911400828,4.911400828,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_afforestation_reforestation,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,1.489103508,1.489103508,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_afforestation_reforestation,lifecycle accounting,physically retained = gross * retained fraction,2.739103508,2.739103508,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_retention_then_debit_direct_ocean_capture,lifecycle accounting,physically_retained_after_100y - lifecycle_emissions_proxy,3.516001979,3.516001979,0.000050000,GtCO2e/year,pass,The storage proxy retains negative net results; only a later credit layer may use a zero floor.,aether_storage_lifecycle_routes.csv
storage_retention_bound_direct_ocean_capture,lifecycle accounting,physically retained = gross * retained fraction,3.996001979,3.996001979,0.000050000,GtCO2/year,pass,Physical retention remains a distinct quantity from lifecycle emissions and credits.,aether_storage_lifecycle_routes.csv
storage_signed_net_conservation,lifecycle accounting,sum(route signed net) = storage summary signed net,84.004794011,84.004794011,0.000050000,GtCO2e/year,pass,Portfolio storage summary must preserve signed accounting across pathways.,aether_storage_lifecycle_routes.csv; aether_storage_lifecycle_summary.csv
lca_signed_retention_then_debit_near_zero_clean_power_daccs_geologic,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,37.053909000,37.053889000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_daccs_geologic,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",34.173708000,34.173690208,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_daccs_geologic,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_near_zero_clean_power_enhanced_weathering,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,17.319722000,17.319722000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_enhanced_weathering,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",11.610276000,11.610275643,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_enhanced_weathering,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
