publication_status,absolute_projection_accepted,failure_reason,case,display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,forcing_policy,forcing_policy_name,temperature_2026_c,temperature_2050_c,temperature_2100_c,temperature_change_2026_to_2100_c,peak_temperature_c,peak_temperature_year,minimum_temperature_c,minimum_temperature_year,co2_ppm_2100,co2_erf_2100_w_m2,non_co2_positive_forcing_2100_w_m2,aerosol_forcing_2100_w_m2,total_erf_2100_w_m2,avoided_temperature_vs_no_aether_2100_c,model_class,caveat
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.666279,2.604198,1.410006,2.604198,2100,1.194192,2026,660.958037,4.910432,0.000000,0.000000,4.910432,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.947047,2.865805,1.411044,2.865805,2100,1.454761,2026,660.958037,4.910432,0.450000,-0.050000,5.310432,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,2.132984,3.169257,1.714495,3.169257,2100,1.454761,2026,660.958037,4.910432,1.050000,-0.050000,5.910432,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.909860,2.770650,1.315889,2.770650,2100,1.454761,2026,660.958037,4.910432,0.200000,0.000000,5.110432,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.081017,0.867476,-0.326716,1.306673,2036,0.849035,2071,350.000000,1.305821,0.000000,0.000000,1.305821,1.736722,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.361785,1.129083,-0.325678,1.578812,2036,1.125027,2075,350.000000,1.305821,0.450000,-0.050000,1.705821,1.736722,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.547722,1.432535,-0.022227,1.656365,2040,1.375462,2066,350.000000,1.305821,1.050000,-0.050000,2.305821,1.736722,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.324598,1.033928,-0.420833,1.567285,2036,1.033928,2100,350.000000,1.305821,0.200000,0.000000,1.505821,1.736722,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.450851,1.741530,0.547338,1.741530,2100,1.194192,2026,478.118047,3.074368,0.000000,0.000000,3.074368,0.862668,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.731619,2.003137,0.548376,2.003137,2100,1.454761,2026,478.118047,3.074368,0.450000,-0.050000,3.474368,0.862668,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
