fair_variable_family,current_status,current_artifact,publication_gap,next_action,priority
CO2 emissions time series,provisional_proxy,aether_state_dependent_carbon_pathways.csv,"Use exact fossil, land-use, and lifecycle emissions time series in FAIR-native units instead of a derived direct-net pulse.",Map each AETHER pathway to annual emissions and removals by source category.,P0
CO2 removal time series,provisional_proxy,aether_state_dependent_carbon_pathways.csv,"Gross and effective removal are represented, but not separated by method, durability, leakage, and lifecycle boundary.","Connect pathway portfolio, MRV, and lifecycle screens to method-specific removal time series.",P0
CO2 concentration,rejected_off_reference,aether_climate_emulator_pathways.csv,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,Compare against independently historically initialized emissions-driven FAIR output; forcing mode cannot validate the carbon cycle.,P0
CO2 radiative forcing,usable_screen,aether_climate_emulator_pathways.csv,CO2 forcing uses the AR6 logarithmic anchor but not a full species forcing stack.,Keep as a cross-check against FAIR forcing diagnostics.,P1
Non-CO2 forcing aggregate,aggregate_placeholder,aether_climate_emulator_forcing_assumptions.csv,"Methane, nitrous oxide, halocarbons, ozone, and other forcing agents are aggregated into policy screens.",Replace aggregate non-CO2 forcing with species-level emissions or forcing trajectories.,P0
Aerosol forcing,aggregate_placeholder,aether_climate_emulator_forcing_assumptions.csv,"Aerosol cooling is an aggregate path, not precursor-emissions chemistry.","Add sulfur, black carbon, organic carbon, nitrate, and cloud-interaction assumptions.",P0
Methane emissions,missing,none,No explicit CH4 emissions trajectory.,"Add CH4 baseline, mitigation, rebound, and removals-independent policy assumptions.",P0
Nitrous oxide emissions,missing,none,No explicit N2O emissions trajectory.,"Add N2O baseline and mitigation cases, especially for bioenergy and land-use pathways.",P0
Land-use and albedo forcing,missing,none,"No explicit land-use forcing, albedo, or biogeophysical response.","Add land-use forcing for biomass, afforestation, alkalinity infrastructure, and materials footprints.",P1
Lifecycle emissions trace,provisional_proxy,aether_lifecycle_emissions_summary.csv,"Lifecycle emissions exist as pathway stress tests, but they are not annual species-level forcing inputs.",Convert lifecycle screen into annual CO2e and species-specific emissions traces.,P0
Ocean heat uptake,usable_screen,aether_climate_emulator_pathways.csv,"Two-box ocean index is useful for screening, not a calibrated ocean-heat-content validation.",Compare against FAIR thermal response and observed historical heat uptake constraints.,P1
Zero-emissions commitment,missing,none,No explicit ZEC treatment after net zero or during net-negative phases.,Add ZEC diagnostics for net-zero and net-negative AETHER cases.,P0
Carbon-cycle asymmetry,provisional_proxy,aether_state_dependent_carbon_summary.csv,"Asymmetry is a hand-set stress test, not a calibrated land-ocean response.",Use FAIR/ESM comparison to calibrate or discard the current coefficients.,P0
Ocean chemistry and alkalinity feedback,missing,none,Ocean alkalinity and direct ocean CDR have no carbonate-system response model.,Add ocean-chemistry submodel or source-backed simplification before ocean CDR claims.,P1
Uncertainty ensemble,missing,none,The climate emulator is deterministic for each policy screen.,"Run ensemble ranges across ECS, TCR, carbon-cycle response, non-CO2 forcing, aerosol cleanup, and lifecycle emissions.",P0
Regional climate response,missing,none,"No regional heat, precipitation, circulation, or extreme-risk response.",Keep the paper global until regional response can be sourced or modeled.,P2
Historical spin-up and calibration,provisional_proxy,aether_climate_emulator_calibration.csv,"Historical CO2 is a published RCMIP series; non-CO2 history and thermal state remain synthetic/unvalidated, with no calibrated historical carbon reservoirs.",Initialize FAIR with historical emissions and compare 2026 state against observed temperature and concentration.,P0
