parameter,label,unit,current_low,current_mode,current_high,current_interpretation,evidence_grade,current_distribution_status,source_keys,source_key_count,distribution_rationale,needed_distribution_type,correlation_family,upgrade_priority,review_owner,paper_use_rule,next_evidence_task
clean_addition_growth_rate,Annual clean-addition growth,fraction/year,0.04,0.15,0.24,Growth rate for annual global clean-generation additions through 2046.,B,source_informed_handset,iea_electricity_2026;iea_global_energy_review_2026;irena_power_costs_2024;berkeley_lab_queued_up_2025,4,"Anchored to recent electricity and clean-generation growth, then stretched for an AETHER-scale acceleration scenario.",scenario-family distribution tied to IEA/NREL/IRENA buildout baselines and interconnection constraints,clean_power_coupling;energy_cost_coupling,1,power systems reviewer,Treat as a buildout stress-test variable until tied to regional grid models.,"Create clean-power growth scenarios with transmission, interconnection, storage-duration, and firm-power constraints."
energy_gj_tco2,Full-system energy intensity,GJ/tCO2,1.25,2.25,5.5,Lower values make the clean-energy constraint less binding.,B,source_informed_handset,ipcc_ar6_wg3_ch12;national_academies_dac_ch5_2018;keith_2018_process_dac;netl_sorbent_dac_2025;climeworks_mammoth_2024;onepointfive_stratos_2026,6,"Bounded by published DAC energy ranges and advanced-process claims, but the Monte Carlo range is still a hand-set cross-pathway screen.",pathway-specific PERT or lognormal distributions by capture process and deployment year,energy_cost_coupling;clean_power_coupling,1,energy systems reviewer,"Use as a sensitivity input, not as a calibrated forecast of future energy intensity.","Fit pathway-specific energy distributions from DAC, mineralization, ocean CDR, and BECCS literature."
clean_deliverability_fraction,Clean-energy deliverability,fraction,0.55,0.85,1.0,"Discount for interconnection, firming, transmission, downtime, and siting mismatch.",C,source_informed_handset,berkeley_lab_queued_up_2025;nrel_atb_2024_electricity;nrel_atb_land_wind_2024;nrel_atb_nuclear_2024;iea_geothermal_future_2024,5,"Discounts clean generation for capacity factor, curtailment, firming, transmission, siting, and downtime; currently a single coarse scalar.",regional deliverability distribution by technology mix and grid topology,clean_power_coupling,1,grid integration reviewer,Use only as a crude deliverability discount until a dispatch or power-system model exists.,"Replace the scalar with regional capacity-factor, storage-duration, curtailment, and transmission assumptions."
cost_usd_tco2,Delivered cost,USD/tCO2,25.0,75.0,220.0,"Full delivered cost after learning, energy, storage, MRV, finance, and operations.",C,source_informed_handset,young_2023_dacs_cost_targets;realmonte_2019_daccs_iam;chatterjee_huang_2020_unrealistic_dac;keith_2018_process_dac;wri_scaling_dac_impacts_2024,5,"Cost ranges reflect DAC and CDR cost literature plus AETHER automation assumptions; current Monte Carlo does not yet decompose capex, energy, storage, MRV, finance, and liability.",component cost-stack distributions with correlated learning curves,automation_coupling;energy_cost_coupling,1,climate economics reviewer,Use as a delivered-cost stress test until each cost bucket has its own distribution.,"Fit cost distributions by pathway and cost bucket, then correlate energy price, robot productivity, MRV burden, and finance."
durability_fraction_100y,100-year durable credit fraction,fraction,0.68,0.85,0.96,Fraction of gross captured CO2 credited after lifecycle and 100-year durability haircuts.,C,source_informed_handset,state_of_cdr_2026;eu_crcf_2024;oxford_offsetting_principles_2024;epa_subpart_rr_mrv_2026;national_academies_ocean_cdr_2022,5,"Current fraction combines lifecycle emissions, permanence, reversal, measurement, method uncertainty, and crediting buffers into one number.",pathway-specific durability and MRV-crediting distribution,storage_mrv_coupling,1,MRV and permanence reviewer,Use only as a portfolio haircut until pathway-specific reversal and measurement distributions exist.,"Separate lifecycle emissions, measurement error, reversal risk, leakage, invalidation reserve, and liability into independent but correlated terms."
rebound_fraction_of_gross,Rebound or delayed-abatement fraction,fraction of gross removal,0.02,0.18,0.65,Extra emissions or delayed abatement induced by cheap removal.,C,source_informed_handset,alcott_2005_jevons_paradox;sorrell_2009_jevons_rebound;georgetown_atmospheric_trust_2023;cornell_public_trust_doctrine,4,"Jevons-style rebound is real enough to model, but no source directly calibrates rebound from globally cheap durable CDR.","behavioral, policy, and market-response scenario distribution",policy_rebound_coupling,1,climate policy reviewer,"Keep rebound visible as a climate-result subtractor, not a footnote.","Build rebound scenarios tied to carbon pricing, commons ownership, offset quality, sectoral abatement delay, and income effects."
storage_terminal_gtco2_y,Terminal storage capacity,GtCO2/year,35.0,105.0,160.0,"Geologic, mineral, ocean, biomass, and product storage throughput available by 2046.",C,source_informed_handset,netl_carbon_storage_atlas_v_2015;usgs_circular_1386_geologic_storage;epa_class_vi_wells_2026;epa_current_class_vi_projects_2026;national_academies_ocean_cdr_2022,5,"Capacity and throughput are both relevant; current range mixes geologic, mineral, biomass, product, and ocean storage without basin-level injection distributions.","regional throughput distribution by storage route, permit regime, injection rate, and monitoring burden",storage_mrv_coupling,1,storage geoscience reviewer,Do not treat resource capacity as deployable annual throughput.,"Build basin-level storage throughput curves with pressure management, leakage, Class VI equivalents, and monitoring duration."
aether_clean_share,AETHER share of new clean generation,fraction,0.15,0.5,0.75,Share of new clean generation that can be allocated to AETHER after other demand claims.,D,scenario_assumption,iea_energy_ai_2025;microsoft_constellation_crane_2024;google_kairos_2024;helion_microsoft_fusion_2023,4,"Represents political and market allocation of new clean power to AETHER after data centers, electrification, industry, and households.",governance and market-allocation scenario distribution,clean_power_coupling;policy_rebound_coupling,1,energy policy reviewer,Use only as a scenario assumption; do not cite as likely clean-power allocation.,Model opportunity cost of assigning clean power to AETHER versus electrification and AI/data-center demand.
execution_realization_fraction,Execution realization,fraction,0.65,0.95,1.08,"Coordination, permitting, supply-chain, and operations realization of designed capacity.",D,scenario_assumption,berkeley_lab_queued_up_2025;epa_current_class_vi_projects_2026;state_of_cdr_2026;wri_scaling_dac_impacts_2024,4,"Captures coordination, permitting, logistics, siting, supply-chain, labor, safety, and operating failures that are not yet modeled physically.","program-execution risk distribution with correlated permitting, supply-chain, and social-license failures",automation_coupling;storage_mrv_coupling;policy_rebound_coupling,1,infrastructure delivery reviewer,"Treat as a major unknown, not a cleanup factor added after optimistic modeling.","Build a failure-mode register from megaproject, grid, CCS permitting, mining, and large industrial deployment evidence."
robot_output_growth_rate,Annual robot-output growth,fraction/year,0.1,0.24,0.38,Growth rate for robot production relevant to AETHER construction and operations.,D,provisional_lead,ifr_world_robotics_2025;amazon_robotics_750k_robots_2024;unitree_g1_product_2026;figure_botq_2025;figure_ramping_2026;agility_robofab_2023,6,"Uses robotics production and company-scale leads as acceleration signals, but humanoid ramp claims are not yet citation-grade for AETHER-scale deployment.","manufacturing-ramp distribution separated by industrial robots, field robots, humanoids, and specialized automation",automation_coupling,1,robotics manufacturing reviewer,Treat social-media and company-rate claims as leads until archived and corroborated.,"Build a robotics production-rate dataset with audited annual capacity, factory count, task class, and utilization."
