scenario,scenario_name,task_family,display_name,assigned_robot_class,annual_useful_task_hours_billion,useful_hours_per_robot_year,robot_stock_required,robot_stock_required_million,annual_replacement_flow,delivered_cost_usd_per_useful_hour,annual_robot_operating_cost_billion_usd,robot_stock_capex_billion_usd,evidence_grade
high_robot_intensity_translation,High robot-intensity translation,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,6.300000,2500.0000,2520000.0000,2.520000,504000.0000,38.1564,240.385320,302.400000,C
high_robot_intensity_translation,High robot-intensity translation,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,2.700000,4000.0000,675000.0000,0.675000,112500.0000,5.1860,14.002200,30.375000,B/C
high_robot_intensity_translation,High robot-intensity translation,storage_field_operations,Storage field operations,drilling_subsurface_robotics,3.600000,2200.0000,1636363.6364,1.636364,204545.4545,177.9423,640.592182,1309.090909,D
high_robot_intensity_translation,High robot-intensity translation,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,2.700000,2500.0000,1080000.0000,1.080000,270000.0000,4.0075,10.820250,12.960000,C
high_robot_intensity_translation,High robot-intensity translation,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,1.800000,4500.0000,400000.0000,0.400000,40000.0000,8.1306,14.635000,40.000000,B/C
high_robot_intensity_translation,High robot-intensity translation,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.900000,5000.0000,180000.0000,0.180000,25714.2857,31.0979,27.988071,54.000000,C
high_robot_intensity_translation,High robot-intensity translation,module_manufacturing,Module manufacturing,industrial_factory_robot,0.052500,4500.0000,11666.6667,0.011667,1166.6667,8.1306,0.426854,1.166667,B/C
high_robot_intensity_translation,High robot-intensity translation,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.061250,2500.0000,24500.0000,0.024500,3062.5000,86.1250,5.275156,11.025000,C
high_robot_intensity_translation,High robot-intensity translation,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.035000,2200.0000,15909.0909,0.015909,1988.6364,177.9423,6.227980,12.727273,D
high_robot_intensity_translation,High robot-intensity translation,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.017500,4000.0000,4375.0000,0.004375,729.1667,5.1860,0.090755,0.196875,B/C
high_robot_intensity_translation,High robot-intensity translation,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.008750,2500.0000,3500.0000,0.003500,875.0000,4.0075,0.035066,0.042000,C
aether_automation_push,AETHER automation push,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,1.925000,4500.0000,427777.7778,0.427778,71296.2963,4.6208,8.894954,14.972222,C
aether_automation_push,AETHER automation push,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,0.825000,5500.0000,150000.0000,0.150000,21428.5714,1.3825,1.140576,3.000000,B/C
aether_automation_push,AETHER automation push,storage_field_operations,Storage field operations,drilling_subsurface_robotics,1.100000,3500.0000,314285.7143,0.314286,31428.5714,40.3036,44.333929,141.428571,D
aether_automation_push,AETHER automation push,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,0.825000,5000.0000,165000.0000,0.165000,33000.0000,0.4978,0.410718,0.660000,C
aether_automation_push,AETHER automation push,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,0.550000,6000.0000,91666.6667,0.091667,9166.6667,3.0521,1.678655,5.500000,B/C
