publication_status,absolute_projection_accepted,failure_reason,case,display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,forcing_policy,forcing_policy_name,temperature_2026_c,temperature_2050_c,temperature_2100_c,peak_temperature_c,peak_temperature_year,minimum_temperature_c,minimum_temperature_year,co2_ppm_2100,total_erf_2100_w_m2,cumulative_positive_emissions_2026_2100_gtco2,cumulative_effective_removal_2026_2100_gtco2,cumulative_proxy_net_co2_2026_2100_gtco2,max_abs_join_mismatch_ppm,fair_readiness_score_0_1,critical_fair_gap_count,missing_or_placeholder_variable_families,publication_use
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.694432,1.907982,1.907982,2100,1.454761,2026,478.118047,3.274368,6893.1,6192.0,701.1,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.450851,1.74153,1.74153,2100,1.194192,2026,478.118047,3.074368,6893.1,6192.0,701.1,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.731619,2.003137,2.003137,2100,1.454761,2026,478.118047,3.474368,6893.1,6192.0,701.1,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.917556,2.306588,2.306588,2100,1.454761,2026,478.118047,4.074368,6893.1,6192.0,701.1,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.324598,1.033928,1.567285,2036,1.033928,2100,350.0,1.505821,3165.0,4332.743,-1167.743,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.081017,0.867476,1.306673,2036,0.849035,2071,350.0,1.305821,3165.0,4332.743,-1167.743,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.361785,1.129083,1.578812,2036,1.125027,2075,350.0,1.705821,3165.0,4332.743,-1167.743,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.547722,1.432535,1.656365,2040,1.375462,2066,350.0,2.305821,3165.0,4332.743,-1167.743,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.190088,1.028038,1.551696,2034,1.028038,2100,350.0,1.505821,801.8,1988.118,-1186.318,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,0.946507,0.861586,1.289791,2035,0.838461,2066,350.0,1.305821,801.8,1988.118,-1186.318,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.227275,1.123193,1.561165,2035,1.116483,2069,350.0,1.705821,801.8,1988.118,-1186.318,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.413212,1.426645,1.621328,2038,1.356789,2060,350.0,2.305821,801.8,1988.118,-1186.318,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.149069,1.02555,1.543878,2034,1.02555,2100,350.0,1.505821,527.5,1721.575,-1194.075,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,0.905488,0.859098,1.281638,2034,0.833994,2064,350.0,1.305821,527.5,1721.575,-1194.075,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.186256,1.120705,1.552201,2034,1.112742,2067,350.0,1.705821,527.5,1721.575,-1194.075,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.372193,1.424157,1.604238,2037,1.347973,2057,350.0,2.305821,527.5,1721.575,-1194.075,0.0,0.3412,12,9,Quarantined FAIR/ESM handoff scaffold; do not cite as a FAIR result or absolute concentration/temperature evidence.
