publication_status,absolute_projection_accepted,failure_reason,scenario_id,case,display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,avoided_temperature_vs_matched_no_aether_2100_c,forcing_policy,forcing_policy_name,config,fair_version,fair_temperature_2026_c,fair_temperature_2050_c,fair_temperature_2100_c,emulator_temperature_2100_c,fair_minus_emulator_2100_c,peak_fair_temperature_c,peak_fair_temperature_year,minimum_fair_temperature_c,minimum_fair_temperature_year,co2_ppm_2100,total_erf_2100_w_m2,config_interpretation,publication_use
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__active_full_forcing_management,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.218496,active_full_forcing_management,Active full-forcing management,central_diagnostic,2.2.4,1.454761,2.154532,2.365529,1.907982,0.457547,2.365529,2100,1.454761,2026,478.118047,3.274368,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__active_full_forcing_management,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.470066,active_full_forcing_management,Active full-forcing management,faster_response,2.2.4,1.454761,2.575967,2.83491,1.907982,0.926928,2.83491,2100,1.454761,2026,478.118047,3.274368,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__active_full_forcing_management,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,0.958942,active_full_forcing_management,Active full-forcing management,slower_ocean_lag,2.2.4,1.454761,1.724535,1.885116,1.907982,-0.022866,1.885116,2100,1.449565,2027,478.118047,3.274368,Stronger ocean-lag stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__co2_only_screen,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.218495,co2_only_screen,CO2-only emulator screen,central_diagnostic,2.2.4,1.194192,1.862495,2.194976,1.74153,0.453446,2.194976,2100,1.194192,2026,478.118047,3.074368,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__co2_only_screen,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.470066,co2_only_screen,CO2-only emulator screen,faster_response,2.2.4,1.194192,2.229227,2.632942,1.74153,0.891412,2.632942,2100,1.194192,2026,478.118047,3.074368,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__co2_only_screen,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,0.958942,co2_only_screen,CO2-only emulator screen,slower_ocean_lag,2.2.4,1.194192,1.48801,1.746325,1.74153,0.004795,1.746325,2100,1.193408,2027,478.118047,3.074368,Stronger ocean-lag stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__mitigation_with_aerosol_cleanup,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.218495,mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,central_diagnostic,2.2.4,1.454761,2.208648,2.499039,2.003137,0.495902,2.499039,2100,1.454761,2026,478.118047,3.474368,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__mitigation_with_aerosol_cleanup,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.470065,mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,faster_response,2.2.4,1.454761,2.642138,2.995921,2.003137,0.992784,2.995921,2100,1.454761,2026,478.118047,3.474368,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__mitigation_with_aerosol_cleanup,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,0.958942,mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,slower_ocean_lag,2.2.4,1.454761,1.766342,1.990282,2.003137,-0.012855,1.990282,2100,1.449904,2027,478.118047,3.474368,Stronger ocean-lag stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__nonco2_delay_aerosol_unmasking,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.218495,nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,central_diagnostic,2.2.4,1.454761,2.479225,2.919362,2.306588,0.612774,2.919362,2100,1.454761,2026,478.118047,4.074368,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__nonco2_delay_aerosol_unmasking,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.470065,nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,faster_response,2.2.4,1.454761,2.972992,3.501386,2.306588,1.194798,3.501386,2100,1.454761,2026,478.118047,4.074368,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound__nonco2_delay_aerosol_unmasking,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,0.958942,nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,slower_ocean_lag,2.2.4,1.454761,1.975381,2.322821,2.306588,0.016233,2.322821,2100,1.451601,2027,478.118047,4.074368,Stronger ocean-lag stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound__active_full_forcing_management,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,2.440817,active_full_forcing_management,Active full-forcing management,central_diagnostic,2.2.4,1.454761,1.603012,1.143208,1.033928,0.10928,1.899469,2038,1.143208,2100,350.0,1.505821,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound__active_full_forcing_management,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,2.941164,active_full_forcing_management,Active full-forcing management,faster_response,2.2.4,1.454761,1.89694,1.363812,1.033928,0.329884,2.261738,2038,1.363812,2100,350.0,1.505821,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound__active_full_forcing_management,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,1.924545,active_full_forcing_management,Active full-forcing management,slower_ocean_lag,2.2.4,1.454761,1.302665,0.919513,1.033928,-0.114415,1.540543,2037,0.919513,2100,350.0,1.505821,Stronger ocean-lag stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound__co2_only_screen,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,2.440816,co2_only_screen,CO2-only emulator screen,central_diagnostic,2.2.4,1.194192,1.310975,0.972655,0.867476,0.105179,1.5958,2038,0.972655,2100,350.0,1.305821,Central diagnostic continuation run; not a calibrated constrained AR6 ensemble.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_no_rebound__co2_only_screen,aether_constant_emissions_no_rebound,"AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,2.941164,co2_only_screen,CO2-only emulator screen,faster_response,2.2.4,1.194192,1.5502,1.161844,0.867476,0.294368,1.902212,2038,1.161844,2100,350.0,1.305821,Higher near-term response stress test.,Forcing-mode diagnostic only; does not validate upstream carbon cycle or absolute temperature. Matched controls isolate AETHER conditional on shared policy and response assumptions.
