"category","representative_prior_art","what_it_already_covers","aether_positioning","contribution_type","overclaim_risk","citation_keys"
"CDR research agenda","NASEM NETs, IPCC AR6, State of CDR","CDR pathways, current scale, mitigation role, and research needs.","AETHER should not claim to invent CDR; its contribution is the coupled 100 GtCO2/year feasibility-boundary model under an AI/robotics abundance premise.","integration_and_scale_stress_test","High if AETHER says the underlying CDR idea is new.","national_academies_net_reliable_sequestration; ipcc_ar6_wg3_technical_summary_cdr; state_of_cdr_2026"
"Regional CDR roadmaps","Roads to Removal","County-resolution U.S. CDR options, transport, storage, cost, and community constraints.","AETHER should use this as a regionalization benchmark and extend toward global abundance scenarios.","global_abundance_extension","Medium if AETHER ignores serious existing roadmaps.","roads_to_removal_2023"
"DAC in IAMs","Realmonte et al. DACCS assessment","DACCS in 1.5 C and 2 C pathways, including 30 GtCO2/year cases and scale-up constraints.","AETHER pushes beyond IAM deployment scenarios by adding explicit automation, contactor, storage, energy, and governance stress tests.","physical_and_automation_boundary_layer","High if AETHER ignores that tens-of-Gt DACCS has already been modeled.","realmonte_2019_daccs_iam"
"Large-DAC critique","Chatterjee and Huang","Energy, materials, sorbent, and coproduct objections to 30 GtCO2/year DAC.","AETHER should treat this as an adversarial constraint that any 100 GtCO2/year case must survive.","adversarial_constraint_integration","High if skepticism is dismissed instead of modeled.","chatterjee_huang_2020_unrealistic_dac"
"DACS techno-economics","Young et al.","DACS cost trajectories, learning, deployment strategy, and likely cost floors above optimistic targets.","AETHER's deep-abundance cost cases must be framed as scenario frontiers, not forecasts.","scenario_frontier_against_cost_literature","High if /tCO2 reads like a prediction.","young_2023_dacs_cost_targets"
"DAC process engineering","Keith et al., NASEM DAC, NETL sorbent DAC","Plant design, air contactors, pressure drop, fan work, energy, sorbents, and costs.","AETHER adds extreme-scale aggregation and factory-rate stress testing, not a substitute for component TEA.","scale_translation","Medium if pressure drop, sorbent life, and maintenance are abstracted away.","keith_2018_process_dac; national_academies_dac_ch5_2018; netl_sorbent_dac_2025"
"Automation-adjacent DAC","McQueen and Drennan warehouse automation DAC","Off-the-shelf warehouse automation, modularity, manufacturability, and construction simplification for DAC.","AETHER should cite this as direct adjacent prior art, then broaden to robots, drilling, mining, MRV, factories, and maintenance.","automation_generalization","Medium if AETHER implies nobody has linked automation and DAC scale.","mcqueen_drennan_2024_warehouse_dac"
"AI materials discovery","OpenDAC 2023; AI polymer membranes","ML benchmarks, large computational datasets, generative design, and AI-automated carbon-capture material discovery.","AETHER should frame AI scientists as acceleration mechanisms while still requiring physical validation and plant-level TEA.","ai_r_and_d_acceleration_link","High if AI material discovery is treated as immediate plant-scale performance.","sriram_2023_opendac; giro_2023_ai_polymer_membranes"
"Storage and liability","USGS storage, IPCC CCS storage, USGS risk/liability","Capacity, reservoir distribution, leakage, pressure, pore-space rights, induced seismicity, monitoring, and liability.","AETHER needs basin-level storage regionalization before claiming durable 100 GtCO2/year credit.","constraint_coupling","High if gross capture is conflated with durable credited storage.","usgs_circular_1386_geologic_storage; ipcc_ar6_wg3_ch6_ccs_storage; usgs_anderson_storage_risk_liability_2017"
"Commons governance","Public trust doctrine, atmospheric trust, Ostrom","Shared environmental sinks as trust resources or commons with rules, liability, and collective governance.","AETHER's citizen-owned sink branch is exploratory governance synthesis, not the core technical proof.","governance_extension","Medium if ownership is treated as solved law rather than a design path.","cornell_public_trust_doctrine; georgetown_atmospheric_trust_2023; ostrom_governing_commons_1990"
