equation_id,paper_quantity,equation,inputs,outputs,evidence_class,source_keys,artifact,reviewer_note
eq_ppm_equivalent,atmosphere-only ppm-equivalent gross drawdown,ppm_equivalent = gross_removal_GtCO2_y / 7.8,gross_removal_GtCO2_y; ppm_to_GtCO2,ppm/year,derived calculation from carbon-cycle bookkeeping convention,standard_atmosphere_conversion,analysis/tables/aether_scenario_summary.csv,"This is air-stock arithmetic, not a carbon-cycle outcome."
eq_net_before_rebound,simple net removal before rebound,net_removal = gross_removal - residual_emissions,gross_removal_GtCO2_y; residual_emissions_GtCO2_y,GtCO2/year,derived calculation from source-backed emissions baseline plus scenario target,global_carbon_budget_2025,analysis/tables/aether_scenario_summary.csv,"This ignores rebound, lifecycle emissions, and land/ocean carbon-cycle response."
eq_energy_twh,annual electricity or heat-equivalent energy,TWh_y = GtCO2_y * GJ_per_tCO2 * 277.7777778,GtCO2_y; GJ_per_tCO2,TWh/year,unit conversion,ipcc_ar6_wg3_ch12,analysis/tables/aether_scenario_summary.csv,"Energy form matters; final versions should separate electricity, heat, compression, transport, and storage work."
eq_average_power,average continuous power,TW_average = TWh_y / 8760,TWh_y; hours_per_year,TW,unit conversion,aether_model_assumptions_2026,analysis/tables/aether_scenario_summary.csv,"Average power does not solve capacity factor, dispatch, transmission, or firming."
eq_co2_splitting_energy,ideal CO2 splitting energy floor,splitting_TWh_y = GtCO2_y * 8.94_GJ_tCO2 * 277.7777778,GtCO2_y; CO2 formation enthalpy; CO2 molar mass,TWh/year,source-backed plus derived thermodynamic calculation,nist_chemistry_webbook_co2;nist_chemistry_webbook_co2_calculated,analysis/tables/aether_splitting_fraction_sensitivity.csv,This is an ideal enthalpy floor before real electrochemical losses and product handling.
eq_supercritical_volume,supercritical CO2 storage volume,volume_km3_y = GtCO2_y * 1e12 / density_kg_m3 / 1e9,GtCO2_y; density_kg_m3,km3/year,source-backed plus derived storage-state calculation,national_academies_net_reliable_sequestration;nist_thermophysical_fluids_2009,analysis/tables/aether_conversion_state_ledger.csv,"Dense volume does not imply injectivity, pressure capacity, legal access, or monitoring readiness."
eq_solid_carbon_mass,solid carbon mass from complete CO2 splitting,carbon_Gt_y = CO2_Gt_y * carbon_molar_mass / CO2_molar_mass,CO2_Gt_y; molar masses,Gt carbon/year,stoichiometric calculation,nist_chemistry_webbook_co2;osha_graphite_natural_chemicaldata_2020;usgs_graphite_mcs_2026,analysis/tables/aether_conversion_state_ledger.csv,Useful for scale comparison; it is not a claim that solid-carbon storage is economically preferred.
eq_o2_coproduct_mass,oxygen coproduct mass from complete CO2 splitting,oxygen_Gt_y = CO2_Gt_y * oxygen_molar_mass / CO2_molar_mass,CO2_Gt_y; molar masses,Gt O2/year,stoichiometric calculation,nist_chemistry_webbook_co2;nist_cryogenic_fluid_properties,analysis/tables/aether_conversion_state_ledger.csv,O2 coproduct handling becomes an industrial safety and market problem at full-splitting scale.
eq_durable_credit,100-year durable credited removal,durable_credit = gross * (1 - lifecycle_penalty) * (1 - annual_reversal_rate) ** 100,gross_GtCO2_y; lifecycle_penalty; annual_reversal_rate,GtCO2/year credited over 100 years,scenario assumption and derived model output,ipcc_ar6_wg3_ch6_ccs_storage;usgs_anderson_storage_risk_liability_2017,analysis/tables/aether_storage_lifecycle_routes.csv,The formula is explicit; the current penalty and reversal rates are assumptions needing pathway-specific LCA and MRV evidence.
eq_geologic_well_equivalents,geologic injection well-equivalent count,wells = geologic_GtCO2_y * 1000 / well_productivity_MtCO2_y,geologic_GtCO2_y; well_productivity_MtCO2_y,well equivalents,scenario assumption and derived model output,epa_class_vi_wells_2026;epa_current_class_vi_projects_2026,analysis/tables/aether_injection_corridor_requirements.csv,A well-equivalent is not a permit-ready design; reservoir productivity and pressure management dominate.
