scenario,scenario_name,anchor_key,anchor_label,evidence_class,required_annual_robot_production_robots,anchor_annualized_robot_flow,multiple_of_anchor_flow,interpretation
high_robot_intensity_translation,High robot-intensity translation,ifr_industrial_robot_installations_2024,IFR 2024 industrial robot installations,independent industry statistic,1492147.46,542076.00,2.752654,"Single-anchor flow is within one order of magnitude of this AETHER annual flow, before task suitability and supply-chain limits."
high_robot_intensity_translation,High robot-intensity translation,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,1492147.46,12000.00,124.345622,AETHER would require a new global robotics manufacturing industry relative to this anchor.
high_robot_intensity_translation,High robot-intensity translation,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,1492147.46,8760.00,170.336468,AETHER would require a new global robotics manufacturing industry relative to this anchor.
high_robot_intensity_translation,High robot-intensity translation,figure_250_robots_month_x_lead_2026,Figure 250/month X lead,unresolved social-media lead,1492147.46,3000.00,497.382487,AETHER would require a new global robotics manufacturing industry relative to this anchor.
high_robot_intensity_translation,High robot-intensity translation,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,1492147.46,10000.00,149.214746,AETHER would require a new global robotics manufacturing industry relative to this anchor.
aether_automation_push,AETHER automation push,ifr_industrial_robot_installations_2024,IFR 2024 industrial robot installations,independent industry statistic,233799.92,542076.00,0.431305,Current anchor is at or above this AETHER annual flow on a count basis; task suitability remains unproven.
aether_automation_push,AETHER automation push,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,233799.92,12000.00,19.483327,AETHER would require many comparable lines or a major ramp from this anchor.
aether_automation_push,AETHER automation push,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,233799.92,8760.00,26.689489,AETHER would require many comparable lines or a major ramp from this anchor.
aether_automation_push,AETHER automation push,figure_250_robots_month_x_lead_2026,Figure 250/month X lead,unresolved social-media lead,233799.92,3000.00,77.933307,AETHER would require many comparable lines or a major ramp from this anchor.
aether_automation_push,AETHER automation push,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,233799.92,10000.00,23.379992,AETHER would require many comparable lines or a major ramp from this anchor.
deep_modular_abundance,Deep modular abundance,ifr_industrial_robot_installations_2024,IFR 2024 industrial robot installations,independent industry statistic,53251.37,542076.00,0.098236,Current anchor is at or above this AETHER annual flow on a count basis; task suitability remains unproven.
deep_modular_abundance,Deep modular abundance,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,53251.37,12000.00,4.437614,"Single-anchor flow is within one order of magnitude of this AETHER annual flow, before task suitability and supply-chain limits."
deep_modular_abundance,Deep modular abundance,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,53251.37,8760.00,6.078924,"Single-anchor flow is within one order of magnitude of this AETHER annual flow, before task suitability and supply-chain limits."
deep_modular_abundance,Deep modular abundance,figure_250_robots_month_x_lead_2026,Figure 250/month X lead,unresolved social-media lead,53251.37,3000.00,17.750457,AETHER would require many comparable lines or a major ramp from this anchor.
deep_modular_abundance,Deep modular abundance,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,53251.37,10000.00,5.325137,"Single-anchor flow is within one order of magnitude of this AETHER annual flow, before task suitability and supply-chain limits."
