scenario,sample_id,weighted_effective_task_hour_multiplier,adjusted_robot_stock_million,adjusted_annual_production_robots,production_multiple_of_ifr_2024,adjusted_annual_operating_cost_billion_usd,stock_multiplier_vs_baseline,production_multiplier_vs_baseline,cost_multiplier_vs_baseline,passes_ifr_installation_count_basis
aether_automation_push,1,0.303083,4.700068,872474.8292,1.609506,328.126630,3.890559,3.731716,5.476452,false
aether_automation_push,2,0.383631,4.510064,790955.8904,1.459124,399.332713,3.733280,3.383047,6.664885,false
aether_automation_push,3,0.322102,4.477827,835411.7916,1.541134,309.144461,3.706596,3.573192,5.159638,false
aether_automation_push,4,0.291218,5.222949,964444.6230,1.779169,386.293181,4.323383,4.125086,6.447255,false
aether_automation_push,5,0.328990,4.241097,795513.2798,1.467531,281.809397,3.510638,3.402539,4.703415,false
aether_automation_push,6,0.322445,4.155306,773050.8977,1.426093,279.322910,3.439623,3.306464,4.661915,false
aether_automation_push,7,0.313818,4.686360,866985.6058,1.599380,337.959824,3.879212,3.708238,5.640568,false
aether_automation_push,8,0.309073,4.753825,875587.2168,1.615248,345.401031,3.935057,3.745029,5.764763,false
aether_automation_push,9,0.318245,4.696824,864302.0434,1.594430,344.160205,3.887874,3.696760,5.744053,false
aether_automation_push,10,0.294394,4.834544,905598.0383,1.670611,324.939297,4.001873,3.873390,5.423255,false
aether_automation_push,11,0.308513,4.934403,895528.2283,1.652034,380.171021,4.084534,3.830320,6.345076,false
aether_automation_push,12,0.314457,4.489709,837415.0078,1.544830,309.419061,3.716431,3.581760,5.164221,false
aether_automation_push,13,0.323926,4.197883,788244.8013,1.454122,271.250794,3.474867,3.371451,4.527191,false
aether_automation_push,14,0.309049,4.990105,921758.3939,1.700423,365.710409,4.130642,3.942510,6.103727,false
aether_automation_push,15,0.342387,4.033370,759441.2433,1.400987,256.193435,3.338688,3.248253,4.275883,false
aether_automation_push,16,0.330170,4.536511,828719.9866,1.528789,333.698219,3.755172,3.544570,5.569442,false
aether_automation_push,17,0.340615,4.063358,781769.7345,1.442177,231.121068,3.363512,3.343756,3.857424,false
aether_automation_push,18,0.302530,4.815081,890976.4423,1.643638,346.001287,3.985763,3.810851,5.774781,false
aether_automation_push,19,0.354556,3.829915,722969.2575,1.333705,241.154245,3.170276,3.092257,4.024878,false
aether_automation_push,20,0.348501,4.540410,812733.6970,1.499298,363.140234,3.758399,3.476194,6.060831,false
aether_automation_push,21,0.298596,5.120811,964159.1037,1.778642,342.645898,4.238836,4.123865,5.718779,false
aether_automation_push,22,0.329380,4.596044,864759.5834,1.595274,299.902219,3.804451,3.698717,5.005385,false
aether_automation_push,23,0.349373,4.049699,763173.7571,1.407872,262.661568,3.352205,3.264218,4.383836,false
aether_automation_push,24,0.321323,4.684148,884288.1955,1.631299,298.956986,3.877381,3.782244,4.989609,false
aether_automation_push,25,0.297674,4.864844,897516.0720,1.655702,350.203751,4.026955,3.838822,5.844920,false
aether_automation_push,26,0.333819,4.737144,864421.3723,1.594650,362.270783,3.921249,3.697270,6.046320,false
aether_automation_push,27,0.350087,4.378314,793031.1290,1.462952,344.200839,3.624222,3.391923,5.744731,false
aether_automation_push,28,0.321456,4.499339,821299.1871,1.515100,327.889664,3.724403,3.512830,5.472497,false
aether_automation_push,29,0.339992,4.122687,789514.8448,1.456465,244.354779,3.412622,3.376883,4.078295,false
aether_automation_push,30,0.307091,4.661660,877949.8068,1.619606,302.135126,3.858766,3.755134,5.042652,false
aether_automation_push,31,0.350297,4.168592,775429.9934,1.430482,286.951499,3.450621,3.316640,4.789237,false
aether_automation_push,32,0.352707,3.894028,717079.0731,1.322839,275.096868,3.223346,3.067064,4.591382,false
aether_automation_push,33,0.294312,5.265609,960790.2227,1.772427,394.490200,4.358695,4.109456,6.584064,false
aether_automation_push,34,0.331893,4.350828,797412.0544,1.471034,316.190703,3.601470,3.410661,5.277241,false
aether_automation_push,35,0.306069,4.895363,892755.9666,1.646920,372.858416,4.052217,3.818462,6.223028,false
aether_automation_push,36,0.333570,4.162208,778118.4972,1.435442,283.688831,3.445337,3.328139,4.734783,false
aether_automation_push,37,0.368646,4.060770,754709.9132,1.392258,288.705733,3.361369,3.228017,4.818515,false
aether_automation_push,38,0.321910,4.229311,796783.8788,1.469875,264.953102,3.500882,3.407974,4.422082,false
aether_automation_push,39,0.325262,5.234956,941829.3124,1.737449,425.478465,4.333322,4.028357,7.101259,false
aether_automation_push,40,0.278778,6.573149,1192799.8716,2.200429,525.988569,5.441032,5.101799,8.778779,false
aether_automation_push,41,0.319394,4.619583,853409.9409,1.574336,333.775205,3.823936,3.650173,5.570727,false
aether_automation_push,42,0.311728,4.648081,853865.2052,1.575176,344.074494,3.847526,3.652120,5.742623,false
aether_automation_push,43,0.303545,4.563969,849841.6509,1.567754,313.683093,3.777901,3.634911,5.235388,false
aether_automation_push,44,0.342887,4.027492,757231.6940,1.396911,265.510352,3.333823,3.238803,4.431383,false
aether_automation_push,45,0.343550,4.446069,821438.4584,1.515357,319.238949,3.680307,3.513426,5.328116,false
aether_automation_push,46,0.291612,5.126885,955262.2128,1.762229,359.630815,4.243864,4.085811,6.002258,false
aether_automation_push,47,0.337910,5.106257,908419.6675,1.675816,438.261449,4.226789,3.885458,7.314608,false
aether_automation_push,48,0.320369,4.639719,843451.0113,1.555964,354.449211,3.840604,3.607577,5.915777,false
aether_automation_push,49,0.362451,3.939376,739150.0510,1.363554,260.838261,3.260883,3.161465,4.353405,false
aether_automation_push,50,0.309828,5.425618,990947.4668,1.828060,420.805821,4.491145,4.238443,7.023273,false
aether_automation_push,51,0.310057,4.969760,925666.5615,1.707632,354.672713,4.113801,3.959226,5.919507,false
aether_automation_push,52,0.337476,4.162882,788277.9466,1.454183,260.472182,3.445895,3.371593,4.347295,false
aether_automation_push,53,0.309485,4.433097,834834.1896,1.540069,284.045316,3.669569,3.570721,4.740732,false
aether_automation_push,54,0.298057,4.947610,923660.2900,1.703931,325.639900,4.095466,3.950645,5.434948,false
aether_automation_push,55,0.328379,4.631174,844464.7368,1.557835,355.171264,3.833531,3.611913,5.927828,false
aether_automation_push,56,0.343561,3.952217,738759.9408,1.362835,265.706557,3.271513,3.159796,4.434657,false
aether_automation_push,57,0.336939,4.421842,805141.8877,1.485293,338.482026,3.660253,3.443722,5.649284,false
aether_automation_push,58,0.324200,4.317060,802471.7143,1.480368,295.627842,3.573518,3.432302,4.934045,false
aether_automation_push,59,0.345700,4.342022,794962.7923,1.466515,325.042295,3.594180,3.400185,5.424974,false
aether_automation_push,60,0.342112,4.170179,786677.2960,1.451231,266.767400,3.451934,3.364746,4.452363,false
aether_automation_push,61,0.343203,4.749942,845039.9721,1.558896,400.783419,3.931843,3.614373,6.689098,false
aether_automation_push,62,0.297669,5.407301,1007719.7263,1.859001,372.728107,4.475983,4.310181,6.220853,false
aether_automation_push,63,0.323951,4.049620,765761.8987,1.412647,251.382358,3.352140,3.275288,4.195586,false
aether_automation_push,64,0.338682,4.199278,785849.6232,1.449704,278.673624,3.476022,3.361206,4.651078,false
aether_automation_push,65,0.326062,4.329865,819232.6427,1.511287,279.849238,3.584117,3.503991,4.670699,false
aether_automation_push,66,0.339562,4.330433,799163.5138,1.474265,312.208750,3.584587,3.418152,5.210782,false
aether_automation_push,67,0.293548,5.172109,964187.2664,1.778694,358.591048,4.281299,4.123985,5.984905,false
aether_automation_push,68,0.346937,4.307053,781225.6122,1.441174,329.693266,3.565234,3.341429,5.502599,false
aether_automation_push,69,0.336910,4.270059,797260.4934,1.470754,293.416022,3.534612,3.410012,4.897130,false
aether_automation_push,70,0.339510,4.411199,811078.9197,1.496246,318.323326,3.651443,3.469116,5.312834,false
aether_automation_push,71,0.287117,4.965487,923859.3785,1.704299,339.532136,4.110264,3.951496,5.666810,false
aether_automation_push,72,0.333757,3.962330,744517.9496,1.373457,253.988538,3.279884,3.184424,4.239083,false
aether_automation_push,73,0.376319,3.668981,672782.6534,1.241122,258.473767,3.037059,2.877601,4.313942,false
aether_automation_push,74,0.332664,4.164043,772183.7397,1.424494,292.562331,3.446856,3.302755,4.882882,false
aether_automation_push,75,0.278872,6.401570,1172651.0398,2.163259,488.995501,5.299005,5.015619,8.161362,false
aether_automation_push,76,0.344894,3.963445,742751.7273,1.370199,264.704089,3.280807,3.176870,4.417926,false
aether_automation_push,77,0.306647,4.723826,881358.6355,1.625895,335.339247,3.910225,3.769714,5.596831,false
aether_automation_push,78,0.298561,5.258194,966111.6609,1.782244,388.773183,4.352557,4.132216,6.488646,false
aether_automation_push,79,0.283470,5.297144,1014698.7906,1.871876,320.577426,4.384799,4.340031,5.350455,false
aether_automation_push,80,0.311403,5.101787,918823.2543,1.695008,411.741598,4.223089,3.929956,6.871990,false
aether_automation_push,81,0.343432,4.128359,759749.5972,1.401555,297.139735,3.417317,3.249572,4.959279,false
aether_automation_push,82,0.314112,4.499802,846951.9603,1.562423,292.389165,3.724785,3.622551,4.879992,false
aether_automation_push,83,0.327892,4.763006,857092.8009,1.581130,385.244214,3.942657,3.665925,6.429748,false
aether_automation_push,84,0.278319,4.825629,917772.6589,1.693070,294.743175,3.994494,3.925463,4.919280,false
aether_automation_push,85,0.341948,4.148329,778691.0268,1.436498,277.899874,3.433848,3.330588,4.638164,false
aether_automation_push,86,0.341102,4.519452,832750.3956,1.536224,333.002270,3.741052,3.561809,5.557827,false
aether_automation_push,87,0.320348,4.551794,855207.4356,1.577652,308.240088,3.767822,3.657861,5.144544,false
aether_automation_push,88,0.297848,4.715886,902318.3729,1.664561,274.646002,3.903653,3.859362,4.583857,false
aether_automation_push,89,0.324303,4.985417,894822.1064,1.650732,407.406547,4.126761,3.827299,6.799638,false
aether_automation_push,90,0.351718,4.069316,753365.2493,1.389778,286.062639,3.368444,3.222265,4.774402,false
aether_automation_push,91,0.337638,4.036236,754999.6044,1.392793,262.198442,3.341061,3.229256,4.376107,false
aether_automation_push,92,0.331360,4.318129,802407.6031,1.480249,301.900526,3.574403,3.432027,5.038737,false
aether_automation_push,93,0.314042,4.637861,856329.8823,1.579723,329.163981,3.839066,3.662662,5.493765,false
aether_automation_push,94,0.303688,4.875339,918127.4399,1.693725,322.742019,4.035642,3.926980,5.386582,false
aether_automation_push,95,0.326242,4.396092,805922.6347,1.486734,315.781942,3.638938,3.447062,5.270418,false
aether_automation_push,96,0.329651,4.276331,801818.4385,1.479162,285.452645,3.539804,3.429508,4.764221,false
aether_automation_push,97,0.365684,3.897837,722161.4915,1.332214,279.041118,3.226499,3.088802,4.657212,false
aether_automation_push,98,0.334396,3.862634,743551.1109,1.371673,215.065501,3.197359,3.180289,3.589455,false
aether_automation_push,99,0.303439,4.612076,880721.3205,1.624719,280.735611,3.817722,3.766988,4.685493,false
aether_automation_push,100,0.327029,4.432570,826034.5394,1.523835,312.607600,3.669133,3.533084,5.217438,false
aether_automation_push,101,0.314528,4.657169,883536.0665,1.629912,292.290322,3.855048,3.779027,4.878342,false
aether_automation_push,102,0.351906,4.572353,833990.0101,1.538511,343.748670,3.784841,3.567111,5.737185,false
aether_automation_push,103,0.320696,4.410052,828148.6810,1.527735,286.831405,3.650493,3.542126,4.787232,false
aether_automation_push,104,0.342123,4.261950,786532.8577,1.450964,307.630132,3.527900,3.364129,5.134364,false
aether_automation_push,105,0.310111,4.936752,900154.7838,1.660569,377.382846,4.086478,3.850108,6.298541,false
aether_automation_push,106,0.313424,5.139212,959524.4042,1.770092,359.181683,4.254068,4.104042,5.994762,false
aether_automation_push,107,0.320293,4.558484,873009.6956,1.610493,269.069941,3.773361,3.734004,4.490792,false
aether_automation_push,108,0.293998,4.861866,926128.2226,1.708484,296.698317,4.024490,3.961201,4.951912,false
aether_automation_push,109,0.311301,4.404686,825380.6181,1.522629,294.092693,3.646051,3.530287,4.908424,false
aether_automation_push,110,0.319923,4.606340,850560.5980,1.569080,327.783599,3.812974,3.637986,5.470727,false
aether_automation_push,111,0.348747,3.959018,751388.5418,1.386131,239.380086,3.277142,3.213811,3.995267,false
aether_automation_push,112,0.348971,4.290993,789332.0495,1.456128,312.576311,3.551941,3.376101,5.216916,false
aether_automation_push,113,0.317362,4.849533,869456.4775,1.603938,386.649124,4.014281,3.718806,6.453196,false
aether_automation_push,114,0.314183,4.508901,826737.6620,1.525132,329.998003,3.732317,3.536091,5.507685,false
aether_automation_push,115,0.341371,4.168727,769126.2090,1.418853,299.382793,3.450733,3.289678,4.996716,false
aether_automation_push,116,0.336296,4.859159,862078.4755,1.590328,409.240195,4.022249,3.687249,6.830242,false
aether_automation_push,117,0.284439,5.467850,1014345.7643,1.871224,385.844255,4.526103,4.338521,6.439762,false
aether_automation_push,118,0.293821,4.931407,901234.0640,1.662560,363.820790,4.082053,3.854724,6.072189,false
aether_automation_push,119,0.306283,4.892039,900015.4642,1.660312,348.897937,4.049466,3.849512,5.823126,false
aether_automation_push,120,0.354938,3.747042,703533.8437,1.297851,240.358483,3.101676,3.009128,4.011597,false
aether_automation_push,121,0.341080,4.005493,756375.7182,1.395331,262.084837,3.315613,3.235142,4.374211,false
aether_automation_push,122,0.305970,4.588546,855080.7023,1.577418,311.760721,3.798245,3.657319,5.203304,false
aether_automation_push,123,0.325814,4.821558,885439.0412,1.633422,363.478189,3.991124,3.787166,6.066471,false
aether_automation_push,124,0.359831,3.846752,728708.7559,1.344293,233.059443,3.184213,3.116806,3.889775,false
aether_automation_push,125,0.341542,4.274187,799530.0285,1.474941,294.232455,3.538029,3.419720,4.910756,false
aether_automation_push,126,0.336629,4.333302,810161.8666,1.494554,291.830055,3.586962,3.465194,4.870660,false
aether_automation_push,127,0.316975,4.455618,816478.4058,1.506207,329.135400,3.688212,3.492211,5.493288,false
aether_automation_push,128,0.333496,4.049896,757882.7474,1.398112,266.137213,3.352368,3.241587,4.441845,false
aether_automation_push,129,0.343770,4.317713,787377.7155,1.452523,324.890166,3.574058,3.367742,5.422435,false
aether_automation_push,130,0.336559,4.214467,817996.8213,1.509008,229.168266,3.488595,3.498705,3.824831,false
aether_automation_push,131,0.344770,4.838256,872392.5628,1.609355,381.082814,4.004947,3.731365,6.360294,false
aether_automation_push,132,0.328603,4.749474,869054.8332,1.603197,362.006936,3.931456,3.717089,6.041916,false
aether_automation_push,133,0.328561,4.811812,900477.6580,1.661165,329.695001,3.983057,3.851489,5.502628,false
aether_automation_push,134,0.304465,4.855538,922604.9982,1.701985,292.949110,4.019251,3.946131,4.889337,false
aether_automation_push,135,0.322553,4.372098,831959.2470,1.534765,273.300617,3.619077,3.558425,4.561403,false
aether_automation_push,136,0.328237,5.128873,934565.0765,1.724048,393.048821,4.245509,3.997286,6.560007,false
aether_automation_push,137,0.297407,5.283078,965079.8495,1.780340,408.072497,4.373155,4.127803,6.810753,false
