base_case,publication_status,absolute_projection_accepted,failure_reason,base_display_name,effectiveness_case,effectiveness_display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,co2_difference_vs_matched_no_aether_2100_ppm,co2_ppm_2046,co2_ppm_2050,co2_ppm_2100,minimum_co2_ppm,minimum_co2_year,cumulative_planned_gross_removal_gtco2,cumulative_actual_gross_removal_gtco2,cumulative_effective_removal_gtco2,actual_to_planned_gross_ratio,effective_to_actual_gross_ratio,ppm_penalty_vs_fixed_current_2100,paper_use_rule
aether_constant_emissions_58pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, 58% rebound",asymmetry_stress,Asymmetry stress,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-130.189731,462.783820,465.528043,530.768306,431.992416,2026,6450.000000,6450.000000,5482.500000,1.000000,0.850000,52.650259,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_58pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, 58% rebound",conservative_state_dependent,Conservative state-dependent,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-163.694442,455.432685,455.740286,497.263595,431.992416,2026,6450.000000,6450.000000,5934.000000,1.000000,0.920000,19.145548,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_58pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, 58% rebound",fixed_0p96_current,Fixed 0.96 current screen,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-182.839990,451.232036,450.147282,478.118047,431.992416,2026,6450.000000,6450.000000,6192.000000,1.000000,0.960000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_58pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, 58% rebound",optimistic_active_management,Optimistic active management,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-192.412765,449.131711,447.350780,468.545272,431.992416,2026,6450.000000,6450.000000,6321.000000,1.000000,0.980000,-9.572775,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_no_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, constant emissions",asymmetry_stress,Asymmetry stress,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-308.392677,404.387286,391.729743,352.565360,352.565360,2100,6450.000000,6450.000000,4221.068859,1.000000,0.654429,2.565360,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_no_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, constant emissions",conservative_state_dependent,Conservative state-dependent,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-310.958037,396.826122,380.876243,350.000000,350.000000,2065,6450.000000,5730.737971,4316.915086,0.888487,0.753291,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_no_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, constant emissions",fixed_0p96_current,Fixed 0.96 current screen,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-310.958037,390.532659,369.328374,350.000000,350.000000,2055,6450.000000,4513.273574,4332.742631,0.699732,0.960000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_constant_emissions_no_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, constant emissions",optimistic_active_management,Optimistic active management,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-310.958037,389.618121,369.962775,350.000000,350.000000,2056,6450.000000,4825.917771,4332.816396,0.748204,0.897822,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_half_2046_zero_2060,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus delayed zero,asymmetry_stress,Asymmetry stress,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-130.760224,386.239537,369.399588,350.000000,350.000000,2055,6450.000000,2927.563750,1973.277975,0.453886,0.674034,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_half_2046_zero_2060,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus delayed zero,conservative_state_dependent,Conservative state-dependent,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-130.760224,377.532423,356.719383,350.000000,350.000000,2052,6450.000000,2546.074392,1982.241755,0.394740,0.778548,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
