scenario,scenario_name,start_anchor_key,start_anchor_label,evidence_class,start_annual_flow_robots,target_annual_flow_robots,flow_multiple_needed,doublings_needed_over_20y,required_cagr_pct_over_20y,already_at_or_above_target_on_count_basis,interpretation
high_robot_intensity_translation,High robot-intensity translation,ifr_industrial_robot_installations_2024,IFR 2024 annual industrial robot installations,independent industry statistic,542076.00,1492147.46,2.752654,1.460823,5.193179,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
high_robot_intensity_translation,High robot-intensity translation,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,12000.00,1492147.46,124.345622,6.958212,27.271606,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
high_robot_intensity_translation,High robot-intensity translation,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,8760.00,1492147.46,170.336468,7.412244,29.290133,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
high_robot_intensity_translation,High robot-intensity translation,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,10000.00,1492147.46,149.214746,7.221246,28.437128,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
aether_automation_push,AETHER automation push,ifr_industrial_robot_installations_2024,IFR 2024 annual industrial robot installations,independent industry statistic,542076.00,233799.92,0.431305,0.000000,0.000000,true,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
aether_automation_push,AETHER automation push,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,12000.00,233799.92,19.483327,4.284168,16.006722,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
aether_automation_push,AETHER automation push,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,8760.00,233799.92,26.689489,4.738200,17.846588,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
aether_automation_push,AETHER automation push,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,10000.00,233799.92,23.379992,4.547203,17.069083,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
deep_modular_abundance,Deep modular abundance,ifr_industrial_robot_installations_2024,IFR 2024 annual industrial robot installations,independent industry statistic,542076.00,53251.37,0.098236,0.000000,0.000000,true,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
deep_modular_abundance,Deep modular abundance,figure_botq_first_generation_capacity_2025,Figure BotQ first-generation line,company announced capacity,12000.00,53251.37,4.437614,2.149784,7.735164,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
deep_modular_abundance,Deep modular abundance,figure_one_per_hour_cadence_2026,Figure one robot/hour cadence,company demonstrated cadence,8760.00,53251.37,6.078924,2.603816,9.443843,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
deep_modular_abundance,Deep modular abundance,agility_robofab_capacity_2023,Agility RoboFab capacity,company announced capacity,10000.00,53251.37,5.325137,2.412819,8.721776,false,"Count basis only; AETHER still needs task productivity, uptime, reliability, service, safety, and field integration evidence."
