"gate_order","gate","status","quantitative_anchor","current_read","main_failure_mode","required_next_proof","source_artifacts"
"1","Climate target arithmetic","conditional_pass","Break-even rebound: 57.8% of gross under simple accounting; 41.7% after 25 kg/MWh LCA; 23.1% after LCA+MRV","The gross target exceeds current emissions, but lifecycle and credit-integrity filters sharply reduce rebound headroom.","Cheap removal delays abatement or induces new emissions.","A policy and market design that keeps removal additional rather than permissive.","aether_rebound_accounting_thresholds.csv; aether_lifecycle_emissions_summary.csv"
"2","Carbon-cycle outcome","research_gap","350 ppm is an imposed management floor; species-level FAIR publication gates still fail","The reduced-form pathways are screening outputs, not empirical validation of an achievable concentration trajectory.","Removal is offset by continued emissions, land/ocean response, and rebound behavior.","Upgrade the Joos impulse-response screen to FAIR-class or Earth-system modeling.","aether_carbon_cycle_summary.csv; aether_carbon_cycle_pathways.csv"
"3","Pathway portfolio potential","upper_tail_dependency","100 Gt/y portfolio vs 37.5 Gt/y central assessed potential sum and 107.6 Gt/y high assessed sum","The portfolio fits only as an upper-tail stress test across several CDR pathways.","DACCS, enhanced weathering, ocean alkalinity, BECCS, or biochar misses upper-range deployment.","Regional cost and potential curves with substitution rules when one pathway under-delivers.","aether_pathway_portfolio_summary.csv; aether_cdr_pathway_source_ranges.csv"
"4","Clean power and firm energy","major_bottleneck","91,667 TWh/y gross clean generation; 27.5 TW nameplate; 3.5 TW firm clean capacity","The 3 GJ/tCO2 case is a power-system buildout project at tens-of-terawatts scale.","Generation, storage, transmission, interconnection, siting, or firm power falls short.","Regional dispatch, transmission, storage-duration, and colocation model.","aether_clean_power_portfolio_summary.csv; aether_power_system_tech_assumptions.csv"
"5","Air-contactor and factory scale","major_bottleneck","100 Gt all-air NASEM reference: 3,771 km2 face area; 9,290 TWh/y fan energy; 200,000 STRATOS equivalents","DAC scale depends on air flow, pressure drop, sorbents, module factories, and maintenance, not only energy price.","Contactor pressure drop, fouling, sorbent replacement, or factory throughput dominates the system.","Factory-rate model for contactor modules, sorbent production, replacement logistics, and autonomous maintenance.","aether_air_contactor_scale_summary.csv; aether_sorbent_inventory_scale.csv"
"6","Durable credited storage","major_bottleneck","100 Gt/y gross becomes 84.9 Gt/y 100-year durable credit; 117.8 Gt/y gross required for 100 Gt durable credit","Gross capture must be overbuilt or route mix must improve to deliver 100 Gt/y durable credited removal.","Lifecycle emissions, leakage, reversal, pressure limits, monitoring duration, or liability erodes credit.","Pathway-specific lifecycle assessment and basin-level storage regionalization.","aether_storage_lifecycle_summary.csv; storage-lifecycle-and-regionalization-notes.md"
"7","Delivered cost frontier","major_bottleneck","AETHER automation push: $86/tCO2 and $8.6T/y; deep-abundance floor: $24/tCO2","AI and robotics can move the automatable buckets, but energy, storage, MRV, finance, materials, and liability remain cost floors.","Costs fall in visible labor buckets but not in delivered tonne cost.","Component-level TEA tied to pathway-specific plant designs and supply chains.","aether_cost_improvement_frontier.csv; aether_cost_stack_scenarios.csv"
"8","Robotics and automation","research_gap","Automation-push P50: 840142 robots/y, 1.55x IFR 2024; 0% pass share","Legacy fleet arithmetic clears only before field-productivity penalties; autonomous field throughput remains unproven.","Humanoid or industrial robot counts do not translate into autonomous field construction, maintenance, drilling, MRV, and logistics.","Task-family productivity, duty-cycle, reliability, supervision, maintenance, and replacement distributions.","aether_robotics_field_productivity_distribution_summary.csv; aether_robotics_field_productivity_bottlenecks.csv"
"9","Integrated 2046 feasibility","upper_tail_dependency","A legacy optimistic case passes; it is not integrated with the later field-productivity, species-emissions, and LCA/MRV gates","The passing scenario is an upper-tail stress case and should not be read as a validated joint feasibility result.","A single binding constraint caps the whole system well below target.","Integrated scenario model with sourced distributions and correlated assumptions.","aether_integrated_feasibility_scenarios.csv; aether_integrated_feasibility_timepaths.csv"
"10","Uncertainty screen","research_gap","0.75% gross-100 share; 0.09% durable-100 share; median durable credit 30.8 Gt/y","Current hand-set uncertainty ranges make 100 Gt/y durable credit an upper-tail outcome, not a central forecast.","Optimistic assumptions are treated as independent or more evidence-backed than they are.","Expert elicitation, sourced distributions, correlation structure, and adversarial sensitivity review.","aether_uncertainty_summary.csv; aether_uncertainty_sensitivity.csv"
"11","Governance and rebound","governance_constraint","Break-even rebound falls from 57.8% gross to 41.7% after LCA and 23.1% after LCA+MRV in the 25 kg/MWh case","AETHER must be paired with emissions constraints, sink-use pricing, MRV, liability, and public legitimacy.","Removal becomes a permission structure for continued dumping into shared sinks.","Operational governance model for atmospheric/ocean sink rights, fees, bans, liability, and citizen ownership.","aether_rebound_accounting_thresholds.csv; commons-ownership-and-citizen-dividends.md"
