year,reference_co2_ppm,reference_emissions_mtco2_y
1850,284.3169987996419,2029.711603882692
1851,284.4510040283203,2001.5890007951982
1852,284.59800211588544,2214.528412498724
1853,284.7309977213542,2215.4635275273945
1854,284.8459981282552,2244.9696277691282
1855,284.9409993489583,2236.480763885944
1856,285.04899342854816,2275.3315936410254
1857,285.20399983723956,2297.442413633076
1858,285.3690007527669,2318.7336158185667
1859,285.5449956258138,2364.43810041132
1860,285.73899332682294,2410.148469169493
1861,285.9330012003581,2468.125203823576
1862,286.1000010172526,2252.9827641245047
1863,286.271001180013,2274.239106879483
1864,286.44200134277344,2302.029059321752
1865,286.6139958699544,2327.607561479852
1866,286.78099822998047,2342.0387685516057
1867,286.9550018310547,2365.2479907832253
1868,287.10500081380206,2370.9877781108003
1869,287.2249984741211,2393.1121641481045
1870,287.3549982706706,2401.48111546142
1871,287.4940007527669,2506.7171695871625
1872,287.66399637858075,2875.0670848569357
1873,287.86000061035156,2950.9538949475236
1874,288.0609995524089,2944.2783971551416
1875,288.29100290934247,3017.966792092044
1876,288.5199966430664,3056.069874261878
1877,288.7520014444987,3094.6961136107907
1878,288.9930013020833,3123.43750211347
1879,289.2210006713867,3194.6303206253083
1880,289.4699986775716,3313.3829160435857
1881,289.7369969685872,3473.3431606357117
1882,290.0190022786458,3339.5110650436577
1883,290.26300048828125,3416.541757109122
1884,290.5119984944661,3435.5409543300098
1885,290.7969970703125,3464.0259014109465
1886,291.09999593098956,3482.1805433492427
1887,291.4139989217122,3528.3443221379534
1888,291.76300048828125,3629.8680397849753
1889,292.1130015055339,3629.4328676028913
1890,292.45799763997394,3712.263325023644
1891,292.8159993489583,3755.5639082876373
1892,293.16699981689453,3817.9038226678194
1893,293.4769999186198,3802.169065345335
1894,293.7909978230794,3908.886481121571
1895,294.0789972941081,4003.983382857884
1896,294.36499786376953,4056.965680878467
1897,294.64599863688153,4132.980324962407
1898,294.95399983723956,4220.27236636609
1899,295.2999979654948,4367.5558790737
1900,295.6749954223633,4465.964117982414
1901,296.0069986979167,4768.881210619078
1902,296.3249994913737,4835.690373855374
1903,296.65399678548175,5115.661449346606
1904,296.95399475097656,5244.746845933503
1905,297.28899637858075,5479.7641225829975
1906,297.66199747721356,5710.02176007798
1907,298.0979944864909,6046.017596445159
1908,298.5179901123047,5993.60887265715
1909,298.93599192301434,6115.290591935903
1910,299.37699635823566,6271.0346707236795
1911,299.82899220784503,6113.829365647246
1912,300.3529917399089,6122.579081930935
1913,300.9099934895833,6265.772410241478
1914,301.4189910888672,5938.952988652286
1915,301.9369888305664,5864.556461843016
1916,302.48498789469403,6101.453380465071
1917,303.01098887125653,6227.239688886296
1918,303.44898732503253,6205.488449848611
1919,303.8139877319336,5833.870141311994
1920,304.24598693847656,6290.309927049032
1921,304.59998830159503,6065.154041057446
1922,304.9449818929036,6219.539617674634
1923,305.27098337809247,6673.11577947867
1924,305.62998453776044,6735.3357351681725
1925,305.81298065185547,6795.885288424896
1926,305.9539845784505,6766.33348002835
1927,306.17698669433594,7280.512886863951
1928,306.3289794921875,7308.504362646745
1929,306.49498748779297,7704.45386523897
1930,306.6199773152669,7679.5337879626695
1931,306.82198333740234,7335.49598324422
1932,307.09297943115234,6651.92078097279
1933,307.40198008219403,6798.4784646133985
1934,307.7849833170573,7038.366964030929
1935,308.2269795735677,7216.3251373176945
1936,309.01197306315106,7612.6530585909895
1937,309.7639745076497,7825.863317155546
1938,310.2939758300781,7580.7995009859505
1939,310.8509750366211,7836.395431079665
1940,311.35697682698566,8156.903938474038
1941,311.81097412109375,8184.22489919317
1942,312.17197672526044,8268.324115662388
1943,312.3899790445964,8410.163203247179
1944,312.41297149658203,8377.77464194068
1945,312.38497670491535,7621.090604011107
1946,312.38997141520184,8344.523463193698
1947,312.48597208658856,9027.474124247381
1948,312.5209681193034,9393.938984533277
1949,312.63197072347003,9334.309155077828
1950,312.8209762573242,10044.669353138306
1951,313.01397196451825,11290.690988473712
1952,313.3419774373372,11518.764008649026
1953,313.72996775309247,11706.256085373278
1954,314.09496815999347,12085.377134514507
1955,314.4149703979492,12923.063787504452
1956,314.6979675292969,13695.219825497883
1957,314.9919611612956,14153.07212011279
1958,315.344965616862,14642.001734743273
1959,315.8069661458333,14941.197862638573
1960,316.62496693929035,15353.90677985734
1961,317.29896291097003,15695.776428517676
1962,318.0439631144206,16083.68448972033
1963,318.64996337890625,16722.317626809785
1964,319.3329620361328,17266.280284186472
1965,319.81596120198566,17924.48136720482
1966,320.8799565633138,18518.227429291917
1967,321.4799575805664,19135.12072480886
1968,322.3889567057292,19720.541513799566
1969,323.25095621744794,20540.23517404935
1970,324.78295644124347,21456.95681952457
1971,325.3999557495117,21678.12813296828
1972,327.3489532470703,22109.185509073213
1973,329.90895080566406,23064.162183838653
1974,330.7559534708659,22861.37449535329
1975,330.8269551595052,22836.19669074829
1976,331.5449498494466,23873.377967900647
1977,333.3529459635417,24612.351052840095
1978,335.00994873046875,25215.438997665708
1979,336.60494740804035,25589.010923602826
1980,338.70494588216144,25266.66413889493
1981,340.05894978841144,24889.467179161664
1982,340.64394124348956,24681.493200100438
1983,342.26594797770184,25343.62706963742
1984,344.00794728597003,25945.122385173727
1985,345.4589538574219,26305.73628446545
1986,346.90294647216797,26803.401640676224
1987,348.77494557698566,27328.503126944976
1988,351.2759323120117,28027.36200868042
1989,352.89392344156903,28374.727581686115
1990,354.07293192545575,27966.719141263395
1991,355.35293833414715,28681.589129654978
1992,356.22894795735675,28688.840321545853
1993,356.92495981852215,28363.262281269846
1994,358.2539596557617,28376.682198882976
1995,360.2389551798503,28815.252360570452
1996,362.00496164957684,29248.046572403608
1997,363.25195566813153,32092.809751580182
1998,365.9329554239909,29798.196815477175
1999,367.84497833251953,29186.43353012279
2000,369.1249745686849,29661.88014524073
2001,370.67298889160156,29018.34354509752
2002,372.83499399820965,29933.395293838166
2003,375.41099802652997,30509.191367226616
2004,376.9870020548503,32433.491912222707
2005,378.9070078531901,33416.62985812852
2006,381.01000722249347,34631.865630258944
2007,382.60301971435547,35352.232803840074
2008,384.739018758138,34451.21046720392
2009,386.28002166748047,34225.39114919836
2010,388.71703084309894,36133.83605886364
2011,390.9440205891927,37266.029259802606
2012,393.0159912109375,37953.91187326227
2013,395.72497812906903,38762.7110291811
2014,397.5469792683919,39630.94805394831
2015,399.94909922281903,39152.726298386115
2016,403.11696370442706,
2017,405.76196034749347,
2018,408.63196563720703,
2019,411.50596618652344,
2020,414.3899637858073,40647.52989650565
2021,417.2869567871094,
2022,420.19796498616535,
2023,423.1249593098958,
2024,426.06895955403644,
2025,429.0299580891927,
2026,432.0109608968099,
2027,435.01196034749347,
2028,438.03295644124347,
2029,441.0769577026367,
2030,444.14295959472656,43476.06255246667
2031,447.2319590250651,
2032,450.3329544067383,
2033,453.4349543253581,
2034,456.5409622192383,
2035,459.6519597371419,
2036,462.7699559529622,
2037,465.8969548543294,
2038,469.032958984375,
2039,472.17895762125653,
2040,475.3359603881836,44252.9000312976
2041,478.5039571126302,
2042,481.6739552815755,
2043,484.83795674641925,
2044,487.9959538777669,
2045,491.1499506632487,
2046,494.29995981852215,
2047,497.4469579060872,
2048,500.5919545491536,
2049,503.7339579264323,
2050,506.8749542236328,43462.19004252966
2051,510.0139516194661,
2052,513.1369603474935,
2053,516.2299601236979,
2054,519.2919565836588,
2055,522.3259582519531,
2056,525.3319600423177,
2057,528.3099568684896,
2058,531.2609608968099,
2059,534.1859588623047,
2060,537.0849558512369,40196.48482948561
2061,539.9579620361328,
2062,542.7949523925781,
2063,545.5869496663412,
2064,548.334950764974,
2065,551.0389607747396,
2066,553.699951171875,
2067,556.3189544677734,
2068,558.8949534098307,
2069,561.4309590657552,
2070,563.9249572753906,35235.43373202006
2071,566.3799591064453,
2072,568.771962483724,
2073,571.0829620361328,
2074,573.3139597574869,
2075,575.4659678141276,
2076,577.5399678548177,
2077,579.5369618733724,
2078,581.4579722086588,
2079,583.303965250651,
2080,585.0739695231119,26838.373445574987
2081,586.7699686686198,
2082,588.3779602050781,
2083,589.8859710693359,
2084,591.2959747314453,
2085,592.6089782714844,
2086,593.8249664306641,
2087,594.9449768066406,
2088,595.9699757893881,
2089,596.8999786376953,
2090,597.7349751790365,16324.391561679437
2091,598.4769846598307,
2092,599.1499837239584,
2093,599.7759857177734,
2094,600.35498046875,
2095,600.8859812418619,
2096,601.3659871419271,
2097,601.7969818115234,
2098,602.1769866943359,
2099,602.5049794514974,
2100,602.781982421875,9682.85879405513
