"target_scenario","target_display_name","component","component_label","current_cost_usd_tco2","target_cost_usd_tco2","reduction_factor","log10_reduction_orders","improvement_mechanism","floor_status"
"aether_automation_push","AETHER automation push","energy","Energy","155.56","19.93","7.8","0.892","energy_abundance_and_process_efficiency","hard_floor"
"aether_automation_push","AETHER automation push","contactor_capex","Plant/contactors","170","24","7.08","0.85","ai_design_modular_factories_robotic_construction","mostly_attackable"
"aether_automation_push","AETHER automation push","sorbent_materials","Sorbents/materials","80","10","8","0.903","ai_materials_science_recycling_supply_chain","partly_attackable"
"aether_automation_push","AETHER automation push","compression_transport_storage","Compression/transport/storage","35","14","2.5","0.398","storage_learning_drilling_robotics_logistics","partly_hard_floor"
"aether_automation_push","AETHER automation push","mrv_insurance_liability","MRV/insurance/liability","15","5","3","0.477","sensor_networks_adversarial_mrv_liability_design","partly_hard_floor"
"aether_automation_push","AETHER automation push","robot_ops_maintenance","Robot O&M","65","4","16.25","1.211","robotics_manufacturing_duty_cycle_reliability","mostly_attackable"
"aether_automation_push","AETHER automation push","finance_permitting_overhead","Finance/permitting/overhead","85","9","9.44","0.975","standardization_permitting_market_design","institutional_floor"
"aether_automation_push","AETHER automation push","product_handling","Carbon/O2 product handling","0","0","","","pathway_choice_and_product_safety","avoidable_if_splitting_not_default"
"moonshot_modular","Moonshot modular","energy","Energy","155.56","8.33","18.67","1.271","energy_abundance_and_process_efficiency","hard_floor"
"moonshot_modular","Moonshot modular","contactor_capex","Plant/contactors","170","10","17","1.23","ai_design_modular_factories_robotic_construction","mostly_attackable"
"moonshot_modular","Moonshot modular","sorbent_materials","Sorbents/materials","80","5","16","1.204","ai_materials_science_recycling_supply_chain","partly_attackable"
"moonshot_modular","Moonshot modular","compression_transport_storage","Compression/transport/storage","35","8","4.38","0.641","storage_learning_drilling_robotics_logistics","partly_hard_floor"
"moonshot_modular","Moonshot modular","mrv_insurance_liability","MRV/insurance/liability","15","3","5","0.699","sensor_networks_adversarial_mrv_liability_design","partly_hard_floor"
"moonshot_modular","Moonshot modular","robot_ops_maintenance","Robot O&M","65","2","32.5","1.512","robotics_manufacturing_duty_cycle_reliability","mostly_attackable"
"moonshot_modular","Moonshot modular","finance_permitting_overhead","Finance/permitting/overhead","85","4","21.25","1.327","standardization_permitting_market_design","institutional_floor"
"moonshot_modular","Moonshot modular","product_handling","Carbon/O2 product handling","0","0","","","pathway_choice_and_product_safety","avoidable_if_splitting_not_default"
"deep_abundance_floor","Deep abundance floor","energy","Energy","155.56","4.17","37.33","1.572","energy_abundance_and_process_efficiency","hard_floor"
"deep_abundance_floor","Deep abundance floor","contactor_capex","Plant/contactors","170","6","28.33","1.452","ai_design_modular_factories_robotic_construction","mostly_attackable"
"deep_abundance_floor","Deep abundance floor","sorbent_materials","Sorbents/materials","80","3","26.67","1.426","ai_materials_science_recycling_supply_chain","partly_attackable"
"deep_abundance_floor","Deep abundance floor","compression_transport_storage","Compression/transport/storage","35","5","7","0.845","storage_learning_drilling_robotics_logistics","partly_hard_floor"
"deep_abundance_floor","Deep abundance floor","mrv_insurance_liability","MRV/insurance/liability","15","2","7.5","0.875","sensor_networks_adversarial_mrv_liability_design","partly_hard_floor"
"deep_abundance_floor","Deep abundance floor","robot_ops_maintenance","Robot O&M","65","1.5","43.33","1.637","robotics_manufacturing_duty_cycle_reliability","mostly_attackable"
"deep_abundance_floor","Deep abundance floor","finance_permitting_overhead","Finance/permitting/overhead","85","2.5","34","1.531","standardization_permitting_market_design","institutional_floor"
"deep_abundance_floor","Deep abundance floor","product_handling","Carbon/O2 product handling","0","0","","","pathway_choice_and_product_safety","avoidable_if_splitting_not_default"
