scenario_family,parameter,parameter_was_shifted,sample_mean,independent_reference_sample_mean,mean_delta_vs_independent_reference,unit,interpretation
independent_reference,clean_addition_growth_rate,no,0.1430762438,0.1430762438,0.0000000000,fraction/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,energy_gj_tco2,no,3.0161993982,3.0161993982,0.0000000000,GJ/tCO2,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,clean_deliverability_fraction,no,0.8011955977,0.8011955977,0.0000000000,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,cost_usd_tco2,no,104.5263603092,104.5263603092,0.0000000000,USD/tCO2,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,durability_fraction_100y,no,0.8270076468,0.8270076468,0.0000000000,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,rebound_fraction_of_gross,no,0.2798683365,0.2798683365,0.0000000000,fraction of gross removal,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,storage_terminal_gtco2_y,no,99.8730024734,99.8730024734,0.0000000000,GtCO2/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,aether_clean_share,no,0.4674952107,0.4674952107,0.0000000000,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,execution_realization_fraction,no,0.8936935130,0.8936935130,0.0000000000,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,robot_output_growth_rate,no,0.2397726129,0.2397726129,0.0000000000,fraction/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,robots_per_mtco2_y_capacity,no,158.6516809674,158.6516809674,0.0000000000,robots per Mt/y,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,gross_overbuild_factor,no,1.1760021448,1.1760021448,0.0000000000,multiple of 100 Gt/y,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,residual_emissions_2046_gtco2_y,no,18.3585997109,18.3585997109,0.0000000000,GtCO2/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,aether_robot_share,no,0.2518430257,0.2518430257,0.0000000000,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
independent_reference,annual_budget_trillion_usd,no,7.5966292450,7.5966292450,0.0000000000,trillion USD/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
clean_power_abundance_correlated,clean_addition_growth_rate,yes,0.1839955985,0.1430762438,0.0409193546,fraction/year,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
clean_power_abundance_correlated,energy_gj_tco2,yes,2.3010675043,3.0161993982,-0.7151318939,GJ/tCO2,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
clean_power_abundance_correlated,clean_deliverability_fraction,yes,0.8846607970,0.8011955977,0.0834651993,fraction,"Empirical marginal diagnostic only; sampling variation affects unshifted parameters, while endpoint shifting intentionally changes shifted-parameter marginals."
