anchor_key,source_key,source_type,evidence_class,metric_type,claimed_value,annualized_robot_flow,stock_count,claim_status,paper_use,notes
ifr_industrial_robot_installations_2024,ifr_world_robotics_2025,industry statistical report,independent industry statistic,annual_robot_installations,542076.0,542076.0,,verified external anchor,"Use as a current industrial robot installation comparator, not as humanoid production.",Industrial robots are mostly factory systems and cannot be assumed to perform AETHER field work.
ifr_operational_robot_stock_2024,ifr_world_robotics_2025,industry statistical report,independent industry statistic,operational_stock,4663698.0,,4663698.0,verified external anchor,Use as current global industrial robot stock comparator.,Stock count does not imply general-purpose autonomy.
amazon_mobile_robot_stock_2024,amazon_robotics_750k_robots_2024,company operations article,company claim,deployed_stock,750000.0,,750000.0,company-reported stock,Use as a designed-facility fleet-management comparator.,Warehouse robots are a strong automation signal but are not open-field construction robots.
figure_botq_first_generation_capacity_2025,figure_botq_2025,company primary source,company announced capacity,annual_factory_capacity,12000.0,12000.0,,company-announced capacity,"Use as a frontier humanoid factory-capacity comparator, not independent proof of sustained output.","BotQ first-generation line was described as capable of up to 12,000 humanoids per year."
figure_one_per_hour_cadence_2026,figure_ramping_2026,company primary source,company demonstrated cadence,annualized_cycle_time,1.0,8760.0,,company-announced cadence,Use as a company-primary ramp signal; label as not independently audited.,"One robot per hour annualizes to 8,760 robots/year if sustained continuously."
figure_delivered_over_350_robots_2026,figure_ramping_2026,company primary source,company delivered-stock claim,delivered_stock,350.0,,350.0,company-reported delivered stock,Use as a scale-of-current-fleet caution.,Hundreds of delivered humanoids are meaningful for learning loops and still far below AETHER fleet needs.
figure_actuators_produced_2026,figure_ramping_2026,company primary source,company component-production claim,component_count,9000.0,,,company-reported component count,"Use as a manufacturing-process signal, not as complete robot production.",Component output supports the ramp story but is not equivalent to deployed robots.
figure_250_robots_month_x_lead_2026,figure_x_user_claim_2026_06_250_month,user-supplied social-media lead,unresolved social-media lead,annualized_monthly_lead,250.0,3000.0,,unresolved lead,Do not cite as fact; use only as a verification queue item or sensitivity comparator.,"Annualizes to 3,000 robots/year but remains below official one-hour cadence and needs archival verification."
agility_robofab_capacity_2023,agility_robofab_2023,company primary source,company announced capacity,annual_factory_capacity,10000.0,10000.0,,company-announced capacity,"Use as a humanoid factory-capacity comparator, not sustained-output proof.","Factory capacity above 10,000 robots/year is a useful manufacturing benchmark."
unitree_g1_price_floor_2026,unitree_g1_product_2026,company product page,vendor product claim,unit_price_floor_usd,13500.0,,,vendor listed price,Use only as a low-end hardware price floor with duty-cycle caveats.,"A low price does not prove industrial field productivity, uptime, reliability, or safety."
