"evidence_id","category","metric","value","unit","source_key","evidence_grade","source_status","aether_use","caution"
"ifr_2024_industrial_installations","industrial_robotics","Global industrial robot installations","542076","robots/year","ifr_world_robotics_2025","A","industry_statistics","Current annual robot manufacturing/adoption comparator","Industrial robots are mostly factory systems, not autonomous AETHER field robots."
"ifr_2024_industrial_stock","industrial_robotics","Global industrial robot operational stock","4663698","robots","ifr_world_robotics_2025","A","industry_statistics","Existing industrial robot stock comparator","Stock count does not imply general-purpose autonomy."
"amazon_mobile_robot_stock","warehouse_robotics","Amazon deployed mobile robots","750000","robots","amazon_robotics_750k_robots_2024","B","company_claim","Large fleet-management and warehouse automation comparator","Amazon robots operate in designed facilities, not open construction, mining, or storage environments."
"unitree_g1_price","humanoid_price","Unitree G1 listed starting price","13500","USD/unit","unitree_g1_product_2026","B","company_product_page","Low-end humanoid hardware price floor","Civilian early-stage platform, 2h battery, limited warranty; not evidence of industrial AETHER productivity."
"unitree_g1_battery_life","humanoid_runtime","Unitree G1 listed battery life","2","hours","unitree_g1_product_2026","B","company_product_page","Runtime caution for humanoid duty-cycle assumptions","AETHER's 4,000-7,500 h/year utilization cases require charging, swappable batteries, or non-humanoid specialized systems."
"figure_botq_capacity","humanoid_manufacturing","Figure BotQ first-generation design capacity","12000","robots/year","figure_botq_2025","B","company_announcement","Humanoid factory-capacity comparator","Company-announced capacity, not independent audited annual output."
"figure_hourly_cadence","humanoid_manufacturing","Figure 03 demonstrated cadence","1","robots/hour","figure_ramping_2026","B","company_announcement","Frontier humanoid ramp signal","Company claim; useful for scenario calibration but should not be treated as audited global production."
"figure_robots_delivered","humanoid_manufacturing","Figure 03 robots delivered by ramp announcement","350","robots","figure_ramping_2026","B","company_announcement","Scale of current humanoid fleet claim","Small relative to AETHER fleet requirements."
"figure_first_pass_yield","humanoid_manufacturing","Figure end-of-line first-pass yield","80","percent","figure_ramping_2026","B","company_announcement","Manufacturing process maturity signal","Company-reported and improving; not an independent quality audit."
"figure_actuators_produced","humanoid_manufacturing","Figure actuators produced","9000","actuators","figure_ramping_2026","B","company_announcement","Supply-chain and actuator-scale signal","Actuator production is not the same as complete robot deployment."
"agility_robofab_capacity","humanoid_manufacturing","Agility RoboFab peak capacity","10000","robots/year","agility_robofab_2023","B","company_announcement","Humanoid factory-capacity comparator","Factory capacity, not guaranteed sustained output."
"aether_core_robot_fleet","aether_requirement","AETHER 50 robots/MtCO2/y fleet","5000000","robots","generated_aether_transition_model","C","generated_model_output","Core robot-fleet requirement in integrated feasibility screen","Depends on the proxy assumption that 50 robots support each MtCO2/year of installed capacity."
"aether_core_robot_annual_production","aether_requirement","AETHER 50 robots/MtCO2/y annual production over 20 years","250000","robots/year","generated_aether_transition_model","C","generated_model_output","Annual robot manufacturing requirement for core proxy","Does not include replacement, spares, attrition, or robots needed for upstream energy/materials buildout."
"aether_high_robot_fleet","aether_requirement","AETHER 1000 robots/MtCO2/y high-end fleet","100000000","robots","generated_aether_transition_model","C","generated_model_output","High robot-intensity stress test","Represents a new robotics industry far beyond current humanoid factory announcements."
