scenario,scenario_name,task_family,display_name,assigned_robot_class,evidence_grade,uptime_low,uptime_mode,uptime_high,autonomy_low,autonomy_mode,autonomy_high,task_fit_low,task_fit_mode,task_fit_high,maintenance_factor_low,maintenance_factor_mode,maintenance_factor_high,supervision_factor_low,supervision_factor_mode,supervision_factor_high,risk_driver
high_robot_intensity_translation,High robot-intensity translation,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,C,0.5200,0.6900,0.8300,0.2700,0.4700,0.6700,0.4100,0.6100,0.8100,1.1800,1.3300,1.6300,1.1000,1.2500,1.5000,messy plant maintenance and exception handling
high_robot_intensity_translation,High robot-intensity translation,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,B/C,0.6100,0.7800,0.9200,0.4300,0.6300,0.8300,0.5300,0.7300,0.9300,1.0600,1.2100,1.5100,1.0000,1.1100,1.3600,best when work is moved into warehouse-like designed environments
high_robot_intensity_translation,High robot-intensity translation,storage_field_operations,Storage field operations,drilling_subsurface_robotics,D,0.4700,0.6400,0.7800,0.2100,0.4100,0.6100,0.3300,0.5300,0.7300,1.2800,1.4300,1.7300,1.2000,1.3500,1.6000,"subsurface work, well integrity, and safety-critical field constraints"
high_robot_intensity_translation,High robot-intensity translation,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,C,0.5900,0.7600,0.9000,0.4100,0.6100,0.8100,0.5000,0.7000,0.9000,1.0700,1.2200,1.5200,1.0000,1.1300,1.3800,strong automation fit but adversarial verification still matters
high_robot_intensity_translation,High robot-intensity translation,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,B/C,0.6200,0.7900,0.9300,0.4500,0.6500,0.8500,0.5300,0.7300,0.9300,1.0500,1.2000,1.5000,1.0000,1.1000,1.3500,factory automation is the best-evidenced robot environment
high_robot_intensity_translation,High robot-intensity translation,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,C,0.5800,0.7500,0.8900,0.3900,0.5900,0.7900,0.4900,0.6900,0.8900,1.1000,1.2500,1.5500,1.0000,1.1500,1.4000,"autonomous labs need scientific throughput evidence, not only robot uptime"
high_robot_intensity_translation,High robot-intensity translation,module_manufacturing,Module manufacturing,industrial_factory_robot,B/C,0.6100,0.7800,0.9200,0.4400,0.6400,0.8400,0.5200,0.7200,0.9200,1.0600,1.2100,1.5100,1.0000,1.1000,1.3500,repeatable modules should be easier than bespoke field construction
high_robot_intensity_translation,High robot-intensity translation,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,C,0.4900,0.6600,0.8000,0.2500,0.4500,0.6500,0.3700,0.5700,0.7700,1.2400,1.3900,1.6900,1.1600,1.3100,1.5600,construction productivity and commissioning exceptions
high_robot_intensity_translation,High robot-intensity translation,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,D,0.4500,0.6200,0.7600,0.1900,0.3900,0.5900,0.3100,0.5100,0.7100,1.3000,1.4500,1.7500,1.2500,1.4000,1.6500,"drilling, pressure management, right-of-way, and permitting interfaces"
high_robot_intensity_translation,High robot-intensity translation,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,B/C,0.6000,0.7700,0.9100,0.4200,0.6200,0.8200,0.5200,0.7200,0.9200,1.0700,1.2200,1.5200,1.0000,1.1100,1.3600,can be standardized if the buildout is modular
high_robot_intensity_translation,High robot-intensity translation,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,C,0.5800,0.7500,0.8900,0.4000,0.6000,0.8000,0.4900,0.6900,0.8900,1.0800,1.2300,1.5300,1.0000,1.1300,1.3800,baseline mapping and sensor setup are automatable but method-specific
aether_automation_push,AETHER automation push,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,C,0.6500,0.7900,0.9000,0.4700,0.6700,0.8200,0.6100,0.8000,0.9200,1.1300,1.2300,1.4000,1.1000,1.1800,1.3200,messy plant maintenance and exception handling
aether_automation_push,AETHER automation push,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,B/C,0.7400,0.8800,0.9900,0.6300,0.8300,0.9800,0.7300,0.9200,1.0000,1.0100,1.1100,1.2800,1.0000,1.0400,1.1800,best when work is moved into warehouse-like designed environments
aether_automation_push,AETHER automation push,storage_field_operations,Storage field operations,drilling_subsurface_robotics,D,0.6000,0.7400,0.8500,0.4100,0.6100,0.7600,0.5300,0.7200,0.8400,1.2300,1.3300,1.5000,1.2000,1.2800,1.4200,"subsurface work, well integrity, and safety-critical field constraints"
aether_automation_push,AETHER automation push,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,C,0.7200,0.8600,0.9700,0.6100,0.8100,0.9600,0.7000,0.8900,1.0000,1.0200,1.1200,1.2900,1.0000,1.0600,1.2000,strong automation fit but adversarial verification still matters
aether_automation_push,AETHER automation push,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,B/C,0.7500,0.8900,0.9900,0.6500,0.8500,0.9900,0.7300,0.9200,1.0000,1.0000,1.1000,1.2700,1.0000,1.0300,1.1700,factory automation is the best-evidenced robot environment
aether_automation_push,AETHER automation push,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,C,0.7100,0.8500,0.9600,0.5900,0.7900,0.9400,0.6900,0.8800,1.0000,1.0500,1.1500,1.3200,1.0000,1.0800,1.2200,"autonomous labs need scientific throughput evidence, not only robot uptime"
aether_automation_push,AETHER automation push,module_manufacturing,Module manufacturing,industrial_factory_robot,B/C,0.7400,0.8800,0.9900,0.6400,0.8400,0.9900,0.7200,0.9100,1.0000,1.0100,1.1100,1.2800,1.0000,1.0300,1.1700,repeatable modules should be easier than bespoke field construction
aether_automation_push,AETHER automation push,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,C,0.6200,0.7600,0.8700,0.4500,0.6500,0.8000,0.5700,0.7600,0.8800,1.1900,1.2900,1.4600,1.1600,1.2400,1.3800,construction productivity and commissioning exceptions
aether_automation_push,AETHER automation push,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,D,0.5800,0.7200,0.8300,0.3900,0.5900,0.7400,0.5100,0.7000,0.8200,1.2500,1.3500,1.5200,1.2500,1.3300,1.4700,"drilling, pressure management, right-of-way, and permitting interfaces"
aether_automation_push,AETHER automation push,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,B/C,0.7300,0.8700,0.9800,0.6200,0.8200,0.9700,0.7200,0.9100,1.0000,1.0200,1.1200,1.2900,1.0000,1.0400,1.1800,can be standardized if the buildout is modular
aether_automation_push,AETHER automation push,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,C,0.7100,0.8500,0.9600,0.6000,0.8000,0.9500,0.6900,0.8800,1.0000,1.0300,1.1300,1.3000,1.0000,1.0600,1.2000,baseline mapping and sensor setup are automatable but method-specific
deep_modular_abundance,Deep modular abundance,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,C,0.7500,0.8700,0.9400,0.6700,0.8200,0.9000,0.7400,0.8800,0.9600,1.0800,1.1600,1.2800,1.1000,1.1400,1.2200,messy plant maintenance and exception handling
deep_modular_abundance,Deep modular abundance,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,B/C,0.8400,0.9600,0.9900,0.8300,0.9800,0.9900,0.8600,1.0000,1.0000,1.0000,1.0400,1.1600,1.0000,1.0000,1.0800,best when work is moved into warehouse-like designed environments
deep_modular_abundance,Deep modular abundance,storage_field_operations,Storage field operations,drilling_subsurface_robotics,D,0.7000,0.8200,0.8900,0.6100,0.7600,0.8400,0.6600,0.8000,0.8800,1.1800,1.2600,1.3800,1.2000,1.2400,1.3200,"subsurface work, well integrity, and safety-critical field constraints"
deep_modular_abundance,Deep modular abundance,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,C,0.8200,0.9400,0.9900,0.8100,0.9600,0.9900,0.8300,0.9700,1.0000,1.0000,1.0500,1.1700,1.0000,1.0200,1.1000,strong automation fit but adversarial verification still matters
deep_modular_abundance,Deep modular abundance,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,B/C,0.8500,0.9700,0.9900,0.8500,0.9900,0.9900,0.8600,1.0000,1.0000,1.0000,1.0300,1.1500,1.0000,1.0000,1.0700,factory automation is the best-evidenced robot environment
deep_modular_abundance,Deep modular abundance,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,C,0.8100,0.9300,0.9900,0.7900,0.9400,0.9900,0.8200,0.9600,1.0000,1.0000,1.0800,1.2000,1.0000,1.0400,1.1200,"autonomous labs need scientific throughput evidence, not only robot uptime"
deep_modular_abundance,Deep modular abundance,module_manufacturing,Module manufacturing,industrial_factory_robot,B/C,0.8400,0.9600,0.9900,0.8400,0.9900,0.9900,0.8500,0.9900,1.0000,1.0000,1.0400,1.1600,1.0000,1.0000,1.0700,repeatable modules should be easier than bespoke field construction
deep_modular_abundance,Deep modular abundance,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,C,0.7200,0.8400,0.9100,0.6500,0.8000,0.8800,0.7000,0.8400,0.9200,1.1400,1.2200,1.3400,1.1600,1.2000,1.2800,construction productivity and commissioning exceptions
deep_modular_abundance,Deep modular abundance,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,D,0.6800,0.8000,0.8700,0.5900,0.7400,0.8200,0.6400,0.7800,0.8600,1.2000,1.2800,1.4000,1.2500,1.2900,1.3700,"drilling, pressure management, right-of-way, and permitting interfaces"
deep_modular_abundance,Deep modular abundance,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,B/C,0.8300,0.9500,0.9900,0.8200,0.9700,0.9900,0.8500,0.9900,1.0000,1.0000,1.0500,1.1700,1.0000,1.0000,1.0800,can be standardized if the buildout is modular
deep_modular_abundance,Deep modular abundance,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,C,0.8100,0.9300,0.9900,0.8000,0.9500,0.9900,0.8200,0.9600,1.0000,1.0000,1.0600,1.1800,1.0000,1.0200,1.1000,baseline mapping and sensor setup are automatable but method-specific
