species_group,fair_input_hint,required_units,current_proxy_column,proxy_units,current_status,priority,publication_gap,next_dataset,readiness_score_0_1,paper_use_rule
net_CO2_proxy,CO2 emissions/removals,GtCO2/year before FAIR-native conversion,fair_proxy_net_co2_emissions_gtco2_y,GtCO2/year,provisional_proxy,P0,"Net CO2 is a derived pulse, not separated into fossil, industrial, land-use, and removal streams.","annual fossil/industrial CO2, land-use CO2, and removals by pathway and region",0.62,diagnostic only
gross_CDR_by_method,negative CO2 emissions by removal method,GtCO2/year,gross_removal_gtco2_y,GtCO2/year,provisional_proxy,P0,"Gross removal is not split by DACCS, mineralization, ocean alkalinity, BECCS, biochar, afforestation, or direct ocean CDR.","method-specific annual gross removal, durability, leakage, and MRV-adjusted crediting traces",0.62,diagnostic only
fossil_industrial_CO2,CO2 fossil and industrial emissions,GtCO2/year,positive_emissions_gtco2_y,GtCO2/year,provisional_proxy,P0,"Positive emissions are scenario-level totals, not sector-specific fossil and industrial traces.","sectoral fossil/industrial emissions pathways under no-AETHER, rebound, and net-zero cases",0.62,diagnostic only
land_use_CO2,land-use CO2 emissions,GtCO2/year,,,missing,P0,"Land-use CO2 is missing even though BECCS, afforestation, biomass supply, and land footprints matter.",land-use emissions and removals by land-intensive pathway,0.0,diagnostic only
CH4,methane emissions or concentration,MtCH4/year or ppb,non_co2_positive_forcing_w_m2,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,P0,Methane is buried inside aggregate non-CO2 forcing.,"CH4 baseline, mitigation, leakage, agriculture, fossil, and rebound trajectories",0.35,diagnostic only
N2O,nitrous oxide emissions or concentration,MtN2O/year or ppb,non_co2_positive_forcing_w_m2,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,P0,Nitrous oxide is buried inside aggregate non-CO2 forcing and may move with bioenergy and land-use cases.,"N2O baseline and mitigation pathways, including bioenergy and agriculture interactions",0.35,diagnostic only
halogenated_gases,F-gases and ozone-depleting substances,species-specific emissions or concentration,non_co2_positive_forcing_w_m2,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,P1,Halogenated gases are not separated from aggregate non-CO2 forcing.,species-level F-gas and ODS pathways or imported assessed scenario trajectories,0.35,diagnostic only
ozone_precursors,"NOx, CO, VOC emissions",Mt/year by precursor,non_co2_positive_forcing_w_m2,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,P1,Tropospheric ozone chemistry is not represented.,"NOx, CO, and VOC pathways or assessed scenario imports",0.35,diagnostic only
SO2_aerosol_precursor,sulfur dioxide emissions,MtSO2/year,aerosol_forcing_w_m2,W/m2 aggregate aerosol forcing,aggregate_placeholder,P0,"Aerosol cooling is an aggregate forcing path, not precursor-emissions chemistry.","SO2 emissions by energy, industry, and cleanup scenario",0.35,diagnostic only
black_carbon,BC emissions,MtBC/year,aerosol_forcing_w_m2,W/m2 aggregate aerosol forcing,aggregate_placeholder,P1,Black-carbon forcing is not separated from aggregate aerosol forcing.,BC emissions or assessed scenario imports,0.35,diagnostic only
organic_carbon,OC emissions,MtOC/year,aerosol_forcing_w_m2,W/m2 aggregate aerosol forcing,aggregate_placeholder,P1,Organic-carbon forcing is not separated from aggregate aerosol forcing.,OC emissions or assessed scenario imports,0.35,diagnostic only
ammonia_nitrate,NH3 and nitrate aerosol precursors,Mt/year by precursor,,,missing,P1,Nitrate aerosol chemistry and ammonia precursors are missing.,NH3 and nitrate-relevant precursor pathways,0.0,diagnostic only
land_use_albedo_forcing,land-use forcing,W/m2 or land-use forcing pathway,,,missing,P1,Land-use albedo and biogeophysical response are missing.,"land-use forcing by afforestation, biomass, solar/industrial land, and materials footprints",0.0,diagnostic only
lifecycle_species_trace,"CO2, CH4, N2O lifecycle emissions",annual species-level emissions,,,missing,P0,"Lifecycle emissions are route-level CO2e stress tests, not annual species traces.","pathway-specific LCA time series with CO2, CH4, N2O, replacement, recycling, and decommissioning",0.0,diagnostic only
historical_spinup_state,"historical emissions, concentrations, forcing, and temperature initialization",historical time series,surface_temperature_anomaly_c,deg C screening initial state,provisional_proxy,P0,"CO2 history now comes from published RCMIP concentrations, but non-CO2 history and thermal state remain synthetic/unvalidated; historical carbon reservoirs are not calibrated.","historical emissions, concentration, forcing, and observed-temperature spin-up through 2026",0.62,diagnostic only
ZEC_and_net_negative_response,zero-emissions commitment and net-negative response diagnostic,temperature-response diagnostic,,,missing,P0,ZEC and net-negative temperature-response behavior are not separated from the forcing screen.,ZEC and net-negative response experiment set for AETHER net-zero and drawdown cases,0.0,diagnostic only
