"group","label","value","unit","source_key","interpretation"
"Annual flow","Agility RoboFab peak capacity","10000","robots/year","agility_robofab_2023","Humanoid factory capacity comparator"
"Annual flow","Figure 1/hour annualized","8760","robots/year","figure_ramping_2026","Frontier company-reported cadence"
"Annual flow","Figure BotQ design capacity","12000","robots/year","figure_botq_2025","First-generation humanoid line capacity"
"Annual flow","AETHER core build need","250000","robots/year","generated_aether_transition_model","50 robots/Mt over 20 years"
"Annual flow","IFR 2024 industrial installations","542076","robots/year","ifr_world_robotics_2025","Current global industrial robot installation flow"
"Annual flow","AETHER high build need","5000000","robots/year","generated_aether_transition_model","1000 robots/Mt over 20 years"
"Stock or fleet","Amazon deployed robots","750000","robots","amazon_robotics_750k_robots_2024","Large designed-environment fleet"
"Stock or fleet","IFR industrial robot stock","4663698","robots","ifr_world_robotics_2025","Current global industrial stock"
"Stock or fleet","AETHER core fleet","5000000","robots","generated_aether_transition_model","50 robots/Mt proxy"
"Stock or fleet","AETHER high fleet","100000000","robots","generated_aether_transition_model","1000 robots/Mt proxy"
