publication_status,absolute_projection_accepted,failure_reason,case,display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,forcing_policy,forcing_policy_name,year,co2_ppm,co2_erf_w_m2,non_co2_positive_forcing_w_m2,aerosol_forcing_w_m2,total_erf_w_m2,surface_temperature_anomaly_c,deep_ocean_temperature_index_c,ocean_heat_uptake_w_m2,temperature_change_vs_2026_c,emulator_caveat,avoided_temperature_vs_matched_no_aether_c
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2026,431.992416,2.499170,0.000000,0.000000,2.499170,1.194192,0.420929,0.722609,0.000000,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2027,434.939822,2.537723,0.000000,0.000000,2.537723,1.214086,0.428275,0.734599,0.019894,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2028,437.874325,2.575848,0.000000,0.000000,2.575848,1.233992,0.435740,0.746520,0.039801,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2029,440.800693,2.613614,0.000000,0.000000,2.613614,1.253888,0.443324,0.758339,0.059696,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2030,443.719366,2.651031,0.000000,0.000000,2.651031,1.273754,0.451024,0.770036,0.079563,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2031,446.658841,2.688468,0.000000,0.000000,2.688468,1.293609,0.458840,0.781594,0.099417,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2032,449.607392,2.725773,0.000000,0.000000,2.725773,1.313452,0.466770,0.793031,0.119260,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2033,452.553463,2.762803,0.000000,0.000000,2.762803,1.333271,0.474814,0.804348,0.139080,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2034,455.499618,2.799594,0.000000,0.000000,2.799594,1.353061,0.482969,0.815535,0.158869,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_constant_emissions_no_aether,"No AETHER, constant emissions",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,2035,458.446499,2.836157,0.000000,0.000000,2.836157,1.372816,0.491235,0.826587,0.178624,"Conditional hybrid concentration/two-box diagnostic; historical CO2 sourced, non-CO2 history synthetic, thermal state unvalidated. Matched controls isolate AETHER within these assumptions; absolute temperature is not a validated prediction.",0.000000
