summary_id,metric,value,unit,interpretation,calculation_status
gross_portfolio,AETHER portfolio gross removal before lifecycle or MRV filters,100.000,GtCO2/year,The current pathway portfolio still starts at the 100 GtCO2/year gross target.,reported
physically_retained_100y,Physical gross removal retained after 100 years under route assumptions,95.864,GtCO2/year,This is a physical-retention screen before lifecycle-emissions and MRV accounting debits.,reported
lifecycle_emissions_proxy,Provisional lifecycle-emissions accounting debit,11.860,GtCO2e/year,This provisional CO2e proxy is not a time- or species-resolved climate flow.,reported
net_retention_minus_lifecycle_proxy,Physical retention minus provisional lifecycle-emissions debit,84.004,GtCO2e/year accounting proxy,"This scalar screen is the MRV input, not an issued credit or automatic climate outcome.",reported
mrv_creditable_total,"Provisional creditable removal after MRV, reversal, invalidation, and liability buffers",66.044,GtCO2e/year creditable,This is the current stress-test estimate for tonnes that should be treated as creditable under conservative accounting.,reported
gross_required_for_100_credit_same_mix,Gross removal required for 100 GtCO2/year creditable removal at the same pathway mix,151.414,GtCO2/year gross,AETHER must overbuild gross removal materially if credit integrity is enforced rather than assumed.,defined_positive_credit
additional_gross_required_vs_100,Additional gross removal required above the nominal 100 GtCO2/year target,51.414,GtCO2/year gross,"This is the penalty for treating gross tonnes, durable tonnes, and creditable tonnes as different quantities.",defined_positive_credit
annual_mrv_liability_cost_at_100_gross,Annual MRV and liability reserve at 100 GtCO2/year gross under provisional assumptions,0.970,trillion USD/year,"This is an added hard-floor bucket, not a replacement for capture, energy, transport, or storage costs.",reported
annual_cost_with_mrv_at_100_gross,Portfolio annual cost including provisional MRV/liability at 100 GtCO2/year gross,9.370,trillion USD/year,This combines current pathway portfolio cost assumptions with the MRV/liability reserve.,reported
annual_cost_for_100_credit_same_mix,Portfolio annual cost for 100 GtCO2/year creditable removal at the same pathway mix,14.188,trillion USD/year,This is a first estimate of the cost penalty if the target is creditable tonnes rather than gross tonnes.,defined_positive_credit
credit_shortfall_after_mrv,Shortfall from 100 GtCO2/year after applying MRV and credit-integrity filters to the 100 Gt gross portfolio,33.956,GtCO2/year creditable,"Without overbuild or a more durable pathway mix, the nominal 100 Gt gross portfolio is not a 100 Gt creditable-removal system.",reported
