"metric","value","unit","interpretation"
"gross_target","100","GtCO2/year","AETHER gross removal target."
"current_emissions_baseline","42.2","GtCO2/year","Current anthropogenic CO2 baseline used in AETHER."
"simple_net_before_rebound","57.8","GtCO2/year","Simple annual net removal before rebound or delayed abatement."
"portfolio_cost","8.4","trillion USD/year","Current pathway portfolio model annual cost."
"portfolio_energy","56527.7777777778","TWh/year","Current pathway portfolio model energy."
"durable_credit_from_100_gross","84.8806041268624","GtCO2/year","100-year durable credited removal after lifecycle and durability haircuts."
"gross_required_for_100_durable","117.812545078662","GtCO2/year","Gross removal required for 100 Gt/year durable credit at current mix."
"balanced_3gj_nameplate","27.46","TW","Nameplate clean capacity in the 3 GJ/tCO2 balanced power-system case."
"nasem_air_face_area_100gt","3771","km2","NASEM-reference contactor face area for 100 Gt/year all-air case."
"deep_abundance_cost_floor","24.17","USD/tCO2","Current hand-set deep-abundance delivered cost floor."
"durable_100_uncertainty_share","0.0009","share","Share of hand-set uncertainty draws reaching 100 Gt/year durable credit."
"strong_reversal_uncertainty_share","0.01495","share","Share of hand-set uncertainty draws reaching net removal at least current annual anthropogenic emissions."
